clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
7,0.09709099185462838,kshape,not_applicable,geometric,14,full,0.15115470754742416,2.7471
8,0.127259925738899,kshape,not_applicable,geometric,14,full,0.1369807354639513,2.8707
9,0.12247175559749222,kshape,not_applicable,geometric,14,full,0.13270592755562916,3.0321
10,0.12258842173041355,kshape,not_applicable,geometric,14,full,0.12356006550372363,3.1888
2,0.12649707680847658,kshape,not_applicable,geometric,30,weekly,0.07249991622419917,0.8598
3,0.05793671252571545,kshape,not_applicable,geometric,30,weekly,0.06588060075734495,1.4337
4,0.030936008725702017,kshape,not_applicable,geometric,30,weekly,0.05310113413572359,1.8644
5,0.005391087482811744,kshape,not_applicable,geometric,30,weekly,0.04615443640217879,2.2321
6,0.014622542424897054,kshape,not_applicable,geometric,30,weekly,0.04484116332469798,2.4428
7,-0.014631300628864235,kshape,not_applicable,geometric,30,weekly,0.04042789910859061,2.4965
8,-0.015774307023760696,kshape,not_applicable,geometric,30,weekly,0.03867793246007614,2.7273
9,-0.037648637603889645,kshape,not_applicable,geometric,30,weekly,0.03549000065012653,2.9456
10,-0.08146506713823845,kshape,not_applicable,geometric,30,weekly,0.03953972992333371,3.0797
2,0.08566697928979025,kshape,not_applicable,geometric,30,3day,0.1351543180879853,0.9994
3,0.07550395318971725,kshape,not_applicable,geometric,30,3day,0.11255975429631283,1.5721
4,0.063345612691338,kshape,not_applicable,geometric,30,3day,0.10564053479417204,1.8903
5,0.06801088021497911,kshape,not_applicable,geometric,30,3day,0.0953080683710745,2.2773
6,0.0634522439958087,kshape,not_applicable,geometric,30,3day,0.08684104148157798,2.5421
7,0.06390169824141644,kshape,not_applicable,geometric,30,3day,0.07474727386993185,2.7703
8,0.06401960178983458,kshape,not_applicable,geometric,30,3day,0.07181640951238702,2.9365
9,0.08089785651581269,kshape,not_applicable,geometric,30,3day,0.06564057208548918,3.1453
10,0.052489109961711584,kshape,not_applicable,geometric,30,3day,0.06506338372674493,3.275
2,0.07760297045282114,kshape,not_applicable,geometric,30,full,0.19915208756821323,1.0
3,0.054000459316814096,kshape,not_applicable,geometric,30,full,0.17171894636975638,1.5795
4,0.06648150467357199,kshape,not_applicable,geometric,30,full,0.15663212217916225,1.8345
5,0.07047792505185331,kshape,not_applicable,geometric,30,full,0.13672394513761743,2.3002
6,0.0814877746853188,kshape,not_applicable,geometric,30,full,0.13002772326089707,2.5117
7,0.08216412729346417,kshape,not_applicable,geometric,30,full,0.12125523728371551,2.6883
8,0.09583338144613464,kshape,not_applicable,geometric,30,full,0.11435823648018945,2.8724
9,0.10511610219757403,kshape,not_applicable,geometric,30,full,0.10996397118327243,3.0199
10,0.10853307267467424,kshape,not_applicable,geometric,30,full,0.09852877127876104,3.2474
2,0.041859564139813926,kshape,not_applicable,geometric,60,weekly,0.10565412748975364,0.8956
3,0.012147653815389878,kshape,not_applicable,geometric,60,weekly,0.07878550482741499,1.5037
4,0.00024240622097076843,kshape,not_applicable,geometric,60,weekly,0.06771149458462583,1.8962
5,-0.05338194953210678,kshape,not_applicable,geometric,60,weekly,0.06066086514767503,2.233
6,-0.01958689874995068,kshape,not_applicable,geometric,60,weekly,0.055580330902765526,2.4695
7,-0.07088078547855245,kshape,not_applicable,geometric,60,weekly,0.05329940495339207,2.6462
8,-0.0791549096197382,kshape,not_applicable,geometric,60,weekly,0.04867789322921494,2.9053
9,-0.18934557690040604,kshape,not_applicable,geometric,60,weekly,0.046559296538780215,2.9009
10,-0.25613796512970544,kshape,not_applicable,geometric,60,weekly,0.04530598823980109,3.05
2,0.13914216072174193,kshape,not_applicable,geometric,60,3day,0.07559540418339146,0.9021
3,0.07967414649501997,kshape,not_applicable,geometric,60,3day,0.06505535229189446,1.5411
4,0.04358701345989671,kshape,not_applicable,geometric,60,3day,0.05326001902929812,1.9284
5,0.030492150146236113,kshape,not_applicable,geometric,60,3day,0.04653664032010339,2.2568
6,0.029737060112295374,kshape,not_applicable,geometric,60,3day,0.040876506690475344,2.4583
