,return_mode,clusters,window_size,method,linkage,df_mode,min_per_cluster,max_per_cluster,min_max_delta
0,arithmetic,6,3,ahc,average,3day,0.0045,0.9099,0.9054
0,arithmetic,7,3,ahc,average,3day,0.0045,0.9099,0.9054
0,arithmetic,4,3,ahc,complete,3day,0.0225,0.9144,0.8919
0,arithmetic,4,3,ahc,single,full,0.0045,0.973,0.9685
0,arithmetic,4,3,ahc,average,full,0.018,0.9234,0.9054
0,arithmetic,5,3,ahc,average,full,0.0045,0.9234,0.9189
0,arithmetic,6,3,ahc,average,full,0.0045,0.9234,0.9189
0,arithmetic,7,3,ahc,average,full,0.0045,0.9144,0.9099
0,arithmetic,4,3,ahc,complete,full,0.018,0.9234,0.9054
0,arithmetic,5,3,ahc,complete,full,0.0135,0.9234,0.9099
0,arithmetic,4,3,ahc,single,weekly,0.0045,0.973,0.9685
0,arithmetic,4,3,ahc,average,weekly,0.0045,0.9279,0.9234
0,arithmetic,5,3,ahc,average,weekly,0.0045,0.9144,0.9099
0,arithmetic,6,3,ahc,average,weekly,0.0045,0.9144,0.9099
0,arithmetic,4,60,ahc,single,3day,0.0045,0.9595,0.955
0,arithmetic,6,60,ahc,single,3day,0.0045,0.955,0.9505
0,arithmetic,4,60,ahc,average,3day,0.0045,0.955,0.9505
0,arithmetic,5,60,ahc,average,3day,0.0045,0.955,0.9505
0,arithmetic,6,60,ahc,average,3day,0.0045,0.7613,0.7568
0,arithmetic,7,60,ahc,average,3day,0.0045,0.7568,0.7523
0,arithmetic,4,60,ahc,complete,3day,0.009,0.6712,0.6622
0,arithmetic,5,60,ahc,complete,3day,0.009,0.4775,0.4685
0,arithmetic,6,60,ahc,complete,3day,0.009,0.4775,0.4685
0,arithmetic,7,60,ahc,complete,3day,0.009,0.4775,0.4685
0,arithmetic,4,60,ahc,single,full,0.0045,0.9595,0.955
0,arithmetic,5,60,ahc,single,full,0.0045,0.955,0.9505
0,arithmetic,4,60,ahc,average,full,0.0045,0.9595,0.955
0,arithmetic,5,60,ahc,average,full,0.0045,0.955,0.9505
0,arithmetic,6,60,ahc,average,full,0.0045,0.9369,0.9324
0,arithmetic,7,60,ahc,average,full,0.0045,0.9234,0.9189
0,arithmetic,4,7,ahc,single,3day,0.0045,0.9685,0.964
0,arithmetic,5,7,ahc,single,3day,0.0045,0.964,0.9595
0,arithmetic,6,7,ahc,single,3day,0.0045,0.9595,0.955
0,arithmetic,4,7,ahc,average,3day,0.0045,0.9324,0.9279
0,arithmetic,5,7,ahc,average,3day,0.0045,0.9324,0.9279
0,arithmetic,6,7,ahc,average,3day,0.0045,0.9324,0.9279
0,arithmetic,7,7,ahc,average,3day,0.0045,0.9324,0.9279
0,arithmetic,4,7,ahc,complete,3day,0.0135,0.9324,0.9189
0,arithmetic,5,7,ahc,complete,3day,0.0135,0.8919,0.8784
0,arithmetic,4,7,ahc,single,full,0.0045,0.9685,0.964
0,arithmetic,5,7,ahc,single,full,0.0045,0.964,0.9595
0,arithmetic,6,7,ahc,single,full,0.0045,0.9505,0.9459
0,arithmetic,4,7,ahc,average,full,0.018,0.9234,0.9054
0,arithmetic,5,7,ahc,average,full,0.0045,0.9234,0.9189
0,arithmetic,6,7,ahc,average,full,0.0045,0.9234,0.9189
0,arithmetic,7,7,ahc,average,full,0.0045,0.9189,0.9144
0,arithmetic,4,7,ahc,complete,full,0.018,0.9234,0.9054
0,arithmetic,5,7,ahc,complete,full,0.0045,0.9189,0.9144
0,arithmetic,6,7,ahc,complete,full,0.0045,0.4775,0.473
0,arithmetic,7,7,ahc,complete,full,0.0045,0.4775,0.473
0,arithmetic,4,7,ahc,single,weekly,0.0045,0.9685,0.964
0,arithmetic,5,7,ahc,single,weekly,0.0045,0.964,0.9595
0,arithmetic,6,7,ahc,single,weekly,0.0045,0.9595,0.955
0,arithmetic,4,7,ahc,average,weekly,0.0135,0.9234,0.9099
0,arithmetic,5,7,ahc,average,weekly,0.0045,0.9234,0.9189
0,arithmetic,6,7,ahc,average,weekly,0.0045,0.9234,0.9189
0,geometric,4,10,ahc,single,3day,0.0045,0.9685,0.964
0,geometric,5,10,ahc,single,3day,0.0045,0.964,0.9595
0,geometric,6,10,ahc,single,3day,0.0045,0.955,0.9505
0,geometric,7,10,ahc,single,3day,0.0045,0.9505,0.9459
0,geometric,4,10,ahc,average,3day,0.0045,0.955,0.9505
0,geometric,5,10,ahc,average,3day,0.0045,0.955,0.9505
0,geometric,4,10,ahc,single,full,0.0045,0.9685,0.964
0,geometric,5,10,ahc,single,full,0.0045,0.964,0.9595
0,geometric,6,10,ahc,single,full,0.0045,0.9595,0.955
0,geometric,7,10,ahc,single,full,0.0045,0.9459,0.9414
0,geometric,4,10,ahc,average,full,0.0045,0.955,0.9505
0,geometric,5,10,ahc,average,full,0.0045,0.9324,0.9279
0,geometric,6,10,ahc,average,full,0.0045,0.9324,0.9279
0,geometric,7,10,ahc,average,full,0.0045,0.9234,0.9189
0,geometric,4,10,ahc,single,weekly,0.0045,0.982,0.9775
0,geometric,5,10,ahc,single,weekly,0.0045,0.9595,0.955
0,geometric,4,10,ahc,average,weekly,0.0135,0.9324,0.9189
0,geometric,5,10,ahc,average,weekly,0.0045,0.9324,0.9279
0,geometric,6,10,ahc,average,weekly,0.0045,0.7748,0.7703
0,geometric,7,10,ahc,average,weekly,0.0045,0.7748,0.7703
0,geometric,4,14,ahc,single,3day,0.0045,0.9685,0.964
0,geometric,5,14,ahc,single,3day,0.0045,0.9595,0.955
0,geometric,6,14,ahc,single,3day,0.0045,0.955,0.9505
0,geometric,4,14,ahc,single,full,0.0045,0.9685,0.964
0,geometric,5,14,ahc,single,full,0.0045,0.955,0.9505
0,geometric,6,14,ahc,single,full,0.0045,0.9505,0.9459
0,geometric,7,14,ahc,single,full,0.0045,0.9505,0.9459
0,geometric,4,14,ahc,average,full,0.0045,0.955,0.9505
0,geometric,5,14,ahc,average,full,0.0045,0.9324,0.9279
0,geometric,6,14,ahc,average,full,0.0045,0.9279,0.9234
0,geometric,4,14,ahc,single,weekly,0.0045,0.964,0.9595
0,geometric,5,14,ahc,single,weekly,0.0045,0.9595,0.955
0,geometric,6,14,ahc,single,weekly,0.0045,0.955,0.9505
0,geometric,4,14,ahc,average,weekly,0.009,0.964,0.955
0,geometric,5,14,ahc,average,weekly,0.009,0.9414,0.9324
0,geometric,6,14,ahc,average,weekly,0.009,0.8514,0.8423
0,geometric,7,14,ahc,average,weekly,0.0045,0.8514,0.8468
0,geometric,4,14,ahc,complete,weekly,0.036,0.6486,0.6126
0,geometric,5,14,ahc,complete,weekly,0.036,0.4144,0.3784
0,geometric,6,14,ahc,complete,weekly,0.036,0.3649,0.3288
0,geometric,4,21,ahc,single,3day,0.0045,0.964,0.9595
0,geometric,5,21,ahc,single,3day,0.0045,0.9595,0.955
0,geometric,6,21,ahc,single,3day,0.0045,0.9595,0.955
0,geometric,4,21,ahc,average,3day,0.0045,0.9595,0.955
0,geometric,5,21,ahc,average,3day,0.0045,0.9369,0.9324
0,geometric,6,21,ahc,average,3day,0.0045,0.9189,0.9144
0,geometric,4,21,ahc,complete,3day,0.036,0.509,0.473
0,geometric,4,21,ahc,single,full,0.0045,0.9685,0.964
0,geometric,5,21,ahc,single,full,0.0045,0.964,0.9595
0,geometric,6,21,ahc,single,full,0.0045,0.955,0.9505
0,geometric,4,21,ahc,average,full,0.0045,0.955,0.9505
0,geometric,5,21,ahc,average,full,0.0045,0.9324,0.9279
0,geometric,4,21,ahc,average,weekly,0.0045,0.9595,0.955
0,geometric,5,21,ahc,average,weekly,0.0045,0.7973,0.7928
0,geometric,6,21,ahc,average,weekly,0.0045,0.7793,0.7748
0,geometric,7,21,ahc,average,weekly,0.0045,0.7793,0.7748
0,geometric,4,21,ahc,complete,weekly,0.018,0.5315,0.5135
0,geometric,5,21,ahc,complete,weekly,0.018,0.5315,0.5135
0,geometric,6,21,ahc,complete,weekly,0.018,0.5315,0.5135
0,geometric,7,21,ahc,complete,weekly,0.018,0.3153,0.2973
0,geometric,4,30,ahc,single,3day,0.0045,0.9685,0.964
0,geometric,4,30,ahc,average,3day,0.009,0.9505,0.9414
0,geometric,5,30,ahc,average,3day,0.0045,0.9459,0.9414
0,geometric,6,30,ahc,average,3day,0.0045,0.9459,0.9414
0,geometric,7,30,ahc,average,3day,0.0045,0.8694,0.8649
0,geometric,6,30,ahc,complete,3day,0.009,0.3874,0.3784
0,geometric,7,30,ahc,complete,3day,0.009,0.3874,0.3784
0,geometric,4,30,ahc,single,full,0.0045,0.9685,0.964
0,geometric,5,30,ahc,single,full,0.0045,0.964,0.9595
0,geometric,4,30,ahc,single,weekly,0.0045,0.9775,0.973
0,geometric,5,30,ahc,single,weekly,0.0045,0.9685,0.964
0,geometric,4,30,ahc,average,weekly,0.0045,0.8153,0.8108
0,geometric,5,30,ahc,average,weekly,0.0045,0.7883,0.7838
0,geometric,6,30,ahc,average,weekly,0.0045,0.7883,0.7838
0,geometric,7,30,ahc,average,weekly,0.0045,0.7883,0.7838
0,geometric,4,30,ahc,complete,weekly,0.0315,0.6396,0.6081
0,geometric,5,30,ahc,complete,weekly,0.018,0.6396,0.6216
0,geometric,6,30,ahc,complete,weekly,0.018,0.6396,0.6216
0,geometric,7,30,ahc,complete,weekly,0.018,0.464,0.4459
0,geometric,4,3,ahc,single,3day,0.0045,0.982,0.9775
0,geometric,5,3,ahc,single,3day,0.0045,0.9595,0.955
0,geometric,6,3,ahc,single,3day,0.0045,0.9595,0.955
0,geometric,7,3,ahc,single,3day,0.0045,0.955,0.9505
0,geometric,4,3,ahc,average,3day,0.0045,0.9234,0.9189
0,geometric,5,3,ahc,average,3day,0.0045,0.9234,0.9189
0,geometric,6,3,ahc,average,3day,0.0045,0.9234,0.9189
0,geometric,7,3,ahc,average,3day,0.0045,0.9189,0.9144
0,geometric,4,3,ahc,complete,3day,0.0045,0.9144,0.9099
0,geometric,5,3,ahc,complete,3day,0.0045,0.9144,0.9099
0,geometric,6,3,ahc,complete,3day,0.0045,0.9144,0.9099
0,geometric,7,3,ahc,complete,3day,0.0045,0.9144,0.9099
0,geometric,4,3,ahc,single,full,0.0045,0.9865,0.982
0,geometric,5,3,ahc,single,full,0.0045,0.9685,0.964
0,geometric,6,3,ahc,single,full,0.0045,0.964,0.9595
0,geometric,4,3,ahc,average,full,0.0045,0.9324,0.9279
0,geometric,5,3,ahc,average,full,0.0045,0.9279,0.9234
0,geometric,6,3,ahc,average,full,0.0045,0.9279,0.9234
0,geometric,7,3,ahc,average,full,0.0045,0.9279,0.9234
0,geometric,4,3,ahc,complete,full,0.018,0.9279,0.9099
0,geometric,5,3,ahc,complete,full,0.009,0.9279,0.9189
0,geometric,6,3,ahc,complete,full,0.0045,0.9279,0.9234
0,geometric,4,3,ahc,single,weekly,0.0045,0.982,0.9775
0,geometric,4,3,ahc,average,weekly,0.009,0.9505,0.9414
0,geometric,4,60,ahc,single,3day,0.0045,0.964,0.9595
0,geometric,4,60,ahc,average,3day,0.0045,0.9505,0.9459
0,geometric,5,60,ahc,average,3day,0.0045,0.9505,0.9459
0,geometric,6,60,ahc,average,3day,0.0045,0.9505,0.9459
0,geometric,7,60,ahc,average,3day,0.0045,0.7613,0.7568
0,geometric,4,60,ahc,complete,3day,0.1126,0.482,0.3694
0,geometric,5,60,ahc,complete,3day,0.036,0.482,0.4459
0,geometric,6,60,ahc,complete,3day,0.009,0.473,0.464
0,geometric,7,60,ahc,complete,3day,0.009,0.2928,0.2838
0,geometric,4,60,ahc,average,full,0.0045,0.9595,0.955
0,geometric,5,60,ahc,average,full,0.0045,0.955,0.9505
0,geometric,6,60,ahc,average,full,0.0045,0.9414,0.9369
0,geometric,7,60,ahc,average,full,0.0045,0.9234,0.9189
0,geometric,4,60,ahc,complete,full,0.009,0.4955,0.4865
0,geometric,5,60,ahc,complete,full,0.009,0.464,0.455
0,geometric,6,60,ahc,complete,full,0.009,0.3198,0.3108
0,geometric,7,60,ahc,complete,full,0.0045,0.3198,0.3153
0,geometric,4,7,ahc,single,3day,0.0045,0.9685,0.964
0,geometric,5,7,ahc,single,3day,0.0045,0.955,0.9505
0,geometric,6,7,ahc,single,3day,0.0045,0.9505,0.9459
0,geometric,4,7,ahc,average,3day,0.018,0.9324,0.9144
0,geometric,5,7,ahc,average,3day,0.0045,0.9324,0.9279
0,geometric,6,7,ahc,average,3day,0.0045,0.9324,0.9279
0,geometric,4,7,ahc,single,full,0.0045,0.9865,0.982
0,geometric,5,7,ahc,single,full,0.0045,0.982,0.9775
0,geometric,6,7,ahc,single,full,0.0045,0.9595,0.955
0,geometric,7,7,ahc,single,full,0.0045,0.955,0.9505
0,geometric,4,7,ahc,average,full,0.018,0.9414,0.9234
0,geometric,5,7,ahc,average,full,0.0045,0.9414,0.9369
0,geometric,6,7,ahc,average,full,0.0045,0.9369,0.9324
0,geometric,7,7,ahc,average,full,0.0045,0.9324,0.9279
0,geometric,4,7,ahc,complete,full,0.009,0.9324,0.9234
0,geometric,5,7,ahc,complete,full,0.0045,0.9279,0.9234
0,geometric,6,7,ahc,complete,full,0.0045,0.9189,0.9144
0,geometric,7,7,ahc,complete,full,0.0045,0.9189,0.9144
0,geometric,4,7,ahc,single,weekly,0.0045,0.982,0.9775
0,geometric,5,7,ahc,single,weekly,0.0045,0.9775,0.973
0,geometric,6,7,ahc,single,weekly,0.0045,0.955,0.9505
0,geometric,4,7,ahc,average,weekly,0.0135,0.9369,0.9234
0,geometric,5,7,ahc,average,weekly,0.0045,0.9369,0.9324
0,geometric,6,7,ahc,average,weekly,0.0045,0.9189,0.9144
0,geometric,7,7,ahc,average,weekly,0.0045,0.9189,0.9144
0,arithmetic,4,14,kmeans,not_applicable,weekly,0.1577,0.3333,0.1757
0,arithmetic,4,14,kmeans,not_applicable,weekly,0.1306,0.3514,0.2207
0,arithmetic,4,14,kmeans,not_applicable,weekly,0.1171,0.4009,0.2838
0,arithmetic,5,14,kmeans,not_applicable,weekly,0.0315,0.2748,0.2432
0,arithmetic,5,14,kmeans,not_applicable,weekly,0.027,0.3153,0.2883
0,arithmetic,5,14,kmeans,not_applicable,weekly,0.0315,0.3559,0.3243
0,arithmetic,6,14,kmeans,not_applicable,weekly,0.1306,0.2117,0.0811
0,arithmetic,6,14,kmeans,not_applicable,weekly,0.036,0.3649,0.3288
0,arithmetic,6,14,kmeans,not_applicable,weekly,0.036,0.2117,0.1757
0,arithmetic,7,14,kmeans,not_applicable,weekly,0.027,0.2117,0.1847
0,arithmetic,7,14,kmeans,not_applicable,weekly,0.027,0.2477,0.2207
0,arithmetic,7,14,kmeans,not_applicable,weekly,0.0811,0.2117,0.1306
0,arithmetic,4,21,kmeans,not_applicable,weekly,0.1441,0.3874,0.2432
0,arithmetic,5,21,kmeans,not_applicable,weekly,0.018,0.4955,0.4775
0,arithmetic,6,21,kmeans,not_applicable,weekly,0.0721,0.2477,0.1757
0,arithmetic,7,21,kmeans,not_applicable,weekly,0.0225,0.1892,0.1667
0,arithmetic,4,30,kmeans,not_applicable,3day,0.2342,0.2928,0.0586
0,arithmetic,4,30,kmeans,not_applicable,3day,0.2252,0.2838,0.0586
0,arithmetic,4,30,kmeans,not_applicable,3day,0.027,0.4099,0.3829
0,arithmetic,4,30,kmeans,not_applicable,weekly,0.0901,0.473,0.3829
0,arithmetic,4,30,kmeans,not_applicable,weekly,0.1712,0.3018,0.1306
0,arithmetic,4,30,kmeans,not_applicable,weekly,0.1441,0.4054,0.2613
0,arithmetic,5,30,kmeans,not_applicable,weekly,0.018,0.482,0.464
0,arithmetic,5,30,kmeans,not_applicable,weekly,0.0405,0.4234,0.3829
0,arithmetic,5,30,kmeans,not_applicable,weekly,0.1126,0.2658,0.1532
0,arithmetic,6,30,kmeans,not_applicable,weekly,0.0631,0.3559,0.2928
0,arithmetic,6,30,kmeans,not_applicable,weekly,0.0405,0.3874,0.3468
0,arithmetic,6,30,kmeans,not_applicable,weekly,0.027,0.3018,0.2748
0,arithmetic,7,30,kmeans,not_applicable,weekly,0.0495,0.2207,0.1712
0,arithmetic,7,30,kmeans,not_applicable,weekly,0.0225,0.3018,0.2793
0,arithmetic,7,30,kmeans,not_applicable,weekly,0.027,0.2117,0.1847
0,arithmetic,4,60,kmeans,not_applicable,3day,0.1577,0.482,0.3243
0,arithmetic,5,60,kmeans,not_applicable,3day,0.0405,0.3468,0.3063
0,arithmetic,6,60,kmeans,not_applicable,3day,0.1306,0.2072,0.0766
0,arithmetic,7,60,kmeans,not_applicable,3day,0.0135,0.3468,0.3333
0,geometric,7,10,kmeans,not_applicable,weekly,0.0315,0.3108,0.2793
0,geometric,7,10,kmeans,not_applicable,weekly,0.027,0.2477,0.2207
0,geometric,7,10,kmeans,not_applicable,weekly,0.0315,0.2297,0.1982
0,geometric,5,14,kmeans,not_applicable,3day,0.0405,0.3964,0.3559
0,geometric,5,14,kmeans,not_applicable,3day,0.027,0.4955,0.4685
0,geometric,5,14,kmeans,not_applicable,3day,0.027,0.3153,0.2883
0,geometric,4,14,kmeans,not_applicable,weekly,0.036,0.4595,0.4234
0,geometric,5,14,kmeans,not_applicable,weekly,0.1441,0.2432,0.0991
0,geometric,5,14,kmeans,not_applicable,weekly,0.0811,0.3018,0.2207
0,geometric,5,14,kmeans,not_applicable,weekly,0.0405,0.2928,0.2523
0,geometric,7,14,kmeans,not_applicable,weekly,0.0631,0.2793,0.2162
0,geometric,7,14,kmeans,not_applicable,weekly,0.0135,0.2297,0.2162
0,geometric,7,14,kmeans,not_applicable,weekly,0.0631,0.2703,0.2072
0,geometric,5,21,kmeans,not_applicable,3day,0.036,0.2883,0.2523
0,geometric,4,21,kmeans,not_applicable,weekly,0.1577,0.3288,0.1712
0,geometric,5,21,kmeans,not_applicable,weekly,0.1081,0.3378,0.2297
0,geometric,6,21,kmeans,not_applicable,weekly,0.036,0.3153,0.2793
0,geometric,7,21,kmeans,not_applicable,weekly,0.036,0.2027,0.1667
0,geometric,4,30,kmeans,not_applicable,3day,0.2072,0.2883,0.0811
0,geometric,5,30,kmeans,not_applicable,3day,0.036,0.3063,0.2703
0,geometric,5,30,kmeans,not_applicable,3day,0.0405,0.3468,0.3063
0,geometric,5,30,kmeans,not_applicable,3day,0.0405,0.2838,0.2432
0,geometric,4,30,kmeans,not_applicable,weekly,0.1532,0.3874,0.2342
0,geometric,5,30,kmeans,not_applicable,weekly,0.0811,0.3198,0.2387
0,geometric,5,30,kmeans,not_applicable,weekly,0.1532,0.2523,0.0991
0,geometric,5,30,kmeans,not_applicable,weekly,0.1486,0.2703,0.1216
0,geometric,6,30,kmeans,not_applicable,weekly,0.0946,0.2568,0.1622
0,geometric,6,30,kmeans,not_applicable,weekly,0.036,0.2703,0.2342
0,geometric,6,30,kmeans,not_applicable,weekly,0.0135,0.2928,0.2793
0,geometric,7,30,kmeans,not_applicable,weekly,0.0631,0.2072,0.1441
0,geometric,7,30,kmeans,not_applicable,weekly,0.0631,0.2703,0.2072
0,geometric,7,30,kmeans,not_applicable,weekly,0.018,0.2568,0.2387
0,geometric,4,60,kmeans,not_applicable,3day,0.027,0.4685,0.4414
0,geometric,5,60,kmeans,not_applicable,3day,0.045,0.3288,0.2838
0,geometric,6,60,kmeans,not_applicable,3day,0.0766,0.3198,0.2432
0,geometric,7,60,kmeans,not_applicable,3day,0.036,0.2703,0.2342
0,geometric,5,60,kmeans,not_applicable,full,0.036,0.2883,0.2523
0,arithmetic,7,10,kshape,not_applicable,full,0.0856,0.1937,0.1081
0,arithmetic,7,10,kshape,not_applicable,full,0.0811,0.2477,0.1667
0,arithmetic,7,10,kshape,not_applicable,full,0.0766,0.2838,0.2072
0,arithmetic,4,30,kshape,not_applicable,3day,0.2117,0.3108,0.0991
0,arithmetic,4,30,kshape,not_applicable,3day,0.1892,0.3739,0.1847
0,arithmetic,4,30,kshape,not_applicable,3day,0.1892,0.3018,0.1126
0,arithmetic,4,30,kshape,not_applicable,weekly,0.2252,0.2793,0.0541
0,arithmetic,4,30,kshape,not_applicable,weekly,0.2162,0.3288,0.1126
0,arithmetic,4,30,kshape,not_applicable,weekly,0.1532,0.3333,0.1802
0,arithmetic,5,30,kshape,not_applicable,weekly,0.0586,0.2973,0.2387
0,arithmetic,5,30,kshape,not_applicable,weekly,0.1441,0.2838,0.1396
0,arithmetic,5,30,kshape,not_applicable,weekly,0.1171,0.2883,0.1712
0,arithmetic,6,30,kshape,not_applicable,weekly,0.0315,0.2297,0.1982
0,arithmetic,6,30,kshape,not_applicable,weekly,0.0811,0.2568,0.1757
0,arithmetic,6,30,kshape,not_applicable,weekly,0.0856,0.2658,0.1802
0,arithmetic,7,30,kshape,not_applicable,weekly,0.0586,0.2387,0.1802
0,arithmetic,7,30,kshape,not_applicable,weekly,0.0225,0.2838,0.2613
0,arithmetic,7,30,kshape,not_applicable,weekly,0.0315,0.2703,0.2387
0,arithmetic,5,3,kshape,not_applicable,3day,0.1081,0.3739,0.2658
0,arithmetic,5,3,kshape,not_applicable,3day,0.1486,0.3468,0.1982
0,arithmetic,5,3,kshape,not_applicable,3day,0.1261,0.3153,0.1892
