clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
9,0.06993781240845102,ahc,complete,geometric,7,full,,1.1074
10,0.06858189056809696,ahc,complete,geometric,7,full,,1.1616
12,0.035212073932250273,ahc,complete,geometric,7,full,,2.4618
15,0.028501001796313482,ahc,complete,geometric,7,full,,2.6835
18,0.03060918921663604,ahc,complete,geometric,7,full,,2.8724
4,0.27517156441804064,ahc,single,geometric,7,full,,0.1242
7,0.2854038210166015,ahc,single,geometric,7,full,,0.2805
9,0.13758648618919794,ahc,single,geometric,7,full,,0.3629
10,0.09294363546787433,ahc,single,geometric,7,full,,0.4041
12,0.05520999595534885,ahc,single,geometric,7,full,,0.4863
15,0.01932055127029606,ahc,single,geometric,7,full,,0.6095
18,0.01119740064624487,ahc,single,geometric,7,full,,0.7323
4,0.15457750474057658,ahc,average,geometric,10,weekly,,0.5772
7,0.111283386018657,ahc,average,geometric,10,weekly,,1.6281
9,0.10961749935739518,ahc,average,geometric,10,weekly,,1.7143
10,0.10319929381691328,ahc,average,geometric,10,weekly,,1.7869
12,0.10607366873385593,ahc,average,geometric,10,weekly,,2.4136
15,0.08009140557203773,ahc,average,geometric,10,weekly,,2.6179
18,0.08209898047546005,ahc,average,geometric,10,weekly,,3.0963
4,0.11542243390829685,ahc,complete,geometric,10,weekly,,1.9158
7,0.1048013165661307,ahc,complete,geometric,10,weekly,,2.4332
9,0.10566742514592876,ahc,complete,geometric,10,weekly,,2.7724
10,0.08196132484767613,ahc,complete,geometric,10,weekly,,2.9598
12,0.09135768438710343,ahc,complete,geometric,10,weekly,,3.1604
15,0.08869340757212364,ahc,complete,geometric,10,weekly,,3.4783
18,0.08753238405283022,ahc,complete,geometric,10,weekly,,3.7274
4,0.04160891425792474,ahc,single,geometric,10,weekly,,0.1242
7,-0.0044796999866255375,ahc,single,geometric,10,weekly,,0.3127
9,-0.0107936996092693,ahc,single,geometric,10,weekly,,0.4273
10,-0.05561448105436283,ahc,single,geometric,10,weekly,,0.4684
12,-0.07436570079871908,ahc,single,geometric,10,weekly,,0.6376
15,-0.06578661585888249,ahc,single,geometric,10,weekly,,0.7977
18,-0.06115360147010518,ahc,single,geometric,10,weekly,,0.9517
4,0.2514320128925398,ahc,average,geometric,10,3day,,0.2837
7,0.1164460239380733,ahc,average,geometric,10,3day,,0.361
9,0.04844282000717933,ahc,average,geometric,10,3day,,0.6034
10,0.08122457247231693,ahc,average,geometric,10,3day,,1.4778
12,0.05143101724458092,ahc,average,geometric,10,3day,,1.8061
15,0.043445588979457425,ahc,average,geometric,10,3day,,2.136
18,0.034520223036323065,ahc,average,geometric,10,3day,,2.4328
4,0.09463100603118982,ahc,complete,geometric,10,3day,,1.1799
7,0.05514560189083423,ahc,complete,geometric,10,3day,,2.0542
9,0.04445462155001761,ahc,complete,geometric,10,3day,,2.4661
10,0.047794364795157966,ahc,complete,geometric,10,3day,,2.7401
12,0.042243166903294785,ahc,complete,geometric,10,3day,,3.0068
15,0.04875933847800931,ahc,complete,geometric,10,3day,,3.3909
18,0.054725332780375675,ahc,complete,geometric,10,3day,,3.5831
4,0.26564986045346506,ahc,single,geometric,10,3day,,0.1242
7,0.11041287124168768,ahc,single,geometric,10,3day,,0.2805
9,0.005741438177052242,ahc,single,geometric,10,3day,,0.3629
10,0.014874446571019814,ahc,single,geometric,10,3day,,0.4362
12,-0.023409621668550762,ahc,single,geometric,10,3day,,0.5184
15,-0.06975270501769114,ahc,single,geometric,10,3day,,0.6415
18,-0.07705820696687636,ahc,single,geometric,10,3day,,0.7642
4,0.2976270698914896,ahc,average,geometric,10,full,,0.2374
7,0.18020930525016784,ahc,average,geometric,10,full,,0.3127
9,0.10513632917852576,ahc,average,geometric,10,full,,0.4273
10,0.08347267543912608,ahc,average,geometric,10,full,,0.4684
12,0.05269865293499875,ahc,average,geometric,10,full,,0.5505
15,0.02811304459336739,ahc,average,geometric,10,full,,1.0249
18,0.01724576190828371,ahc,average,geometric,10,full,,1.1549
4,0.11897397255006431,ahc,complete,geometric,10,full,,0.4777
7,0.08491224801097211,ahc,complete,geometric,10,full,,0.8521
9,0.05084884108201153,ahc,complete,geometric,10,full,,1.6454
10,0.04483866598725661,ahc,complete,geometric,10,full,,2.2462
12,0.047913461899390476,ahc,complete,geometric,10,full,,2.3127
15,0.04674809662217982,ahc,complete,geometric,10,full,,2.699
18,0.04589372953225131,ahc,complete,geometric,10,full,,3.1328
4,0.27845513214391715,ahc,single,geometric,10,full,,0.1242
7,0.130430710514125,ahc,single,geometric,10,full,,0.2482
9,0.11894890222744976,ahc,single,geometric,10,full,,0.3629
10,0.08733224749343424,ahc,single,geometric,10,full,,0.4041
12,0.04735755690320917,ahc,single,geometric,10,full,,0.4863
15,0.00020356606851994514,ahc,single,geometric,10,full,,0.6095
18,-0.016573054317735498,ahc,single,geometric,10,full,,0.7323
4,0.19725128863465966,ahc,average,geometric,14,weekly,,1.2426
7,0.14816190160966886,ahc,average,geometric,14,weekly,,1.9917
9,0.13335673793694575,ahc,average,geometric,14,weekly,,2.0356
10,0.12388655518744832,ahc,average,geometric,14,weekly,,2.1953
12,0.11809438430972725,ahc,average,geometric,14,weekly,,2.3504
15,0.12159253410341192,ahc,average,geometric,14,weekly,,2.9407
18,0.09777483676147,ahc,average,geometric,14,weekly,,3.0438
4,0.13776043702513013,ahc,complete,geometric,14,weekly,,1.7657
7,0.11121824122254796,ahc,complete,geometric,14,weekly,,2.5409
9,0.1153191405061497,ahc,complete,geometric,14,weekly,,2.7498
10,0.10053329158574428,ahc,complete,geometric,14,weekly,,2.973
12,0.10690101352616421,ahc,complete,geometric,14,weekly,,3.0732
15,0.10932021114551346,ahc,complete,geometric,14,weekly,,3.5021
18,0.10022249490904259,ahc,complete,geometric,14,weekly,,3.7424
4,0.0034786994520037877,ahc,single,geometric,14,weekly,,0.1242
7,-0.03196831219997892,ahc,single,geometric,14,weekly,,0.3416
9,-0.0464603266201515,ahc,single,geometric,14,weekly,,0.456
10,-0.062361189557008465,ahc,single,geometric,14,weekly,,0.4971
12,-0.06089575882771325,ahc,single,geometric,14,weekly,,0.6112
15,-0.11638265682585495,ahc,single,geometric,14,weekly,,0.7054
18,-0.1573748757888909,ahc,single,geometric,14,weekly,,0.7961
4,0.245112299620019,ahc,average,geometric,14,3day,,0.2611
7,0.08533903283417776,ahc,average,geometric,14,3day,,0.3682
9,0.0683490525268747,ahc,average,geometric,14,3day,,1.3005
10,0.058279816890815,ahc,average,geometric,14,3day,,1.5138
12,0.05990491494835378,ahc,average,geometric,14,3day,,1.9583
15,0.052694486135843085,ahc,average,geometric,14,3day,,2.2126
18,0.045014484652829534,ahc,average,geometric,14,3day,,2.4963
4,0.1203917803187806,ahc,complete,geometric,14,3day,,1.6008
7,0.05532118636732756,ahc,complete,geometric,14,3day,,2.2182
9,0.05615609987728199,ahc,complete,geometric,14,3day,,2.2623
10,0.05465096682788877,ahc,complete,geometric,14,3day,,2.5098
12,0.05383001511286866,ahc,complete,geometric,14,3day,,2.9142
15,0.05864584558809891,ahc,complete,geometric,14,3day,,3.1787
18,0.05989746356196069,ahc,complete,geometric,14,3day,,3.6488
4,0.21515987776122417,ahc,single,geometric,14,3day,,0.1242
7,0.14538042271326135,ahc,single,geometric,14,3day,,0.3127
9,0.043052119759976984,ahc,single,geometric,14,3day,,0.3951
10,0.00926528143800443,ahc,single,geometric,14,3day,,0.4362
12,-0.028779708883766516,ahc,single,geometric,14,3day,,0.5184
15,-0.05933803444161993,ahc,single,geometric,14,3day,,0.6415
18,-0.07107316087406242,ahc,single,geometric,14,3day,,0.7961
4,0.28955665444137957,ahc,average,geometric,14,full,,0.2611
7,0.1705612430080355,ahc,average,geometric,14,full,,0.3416
9,0.07302053679647477,ahc,average,geometric,14,full,,0.456
10,0.056828971435252694,ahc,average,geometric,14,full,,0.465
12,0.0507404868728679,ahc,average,geometric,14,full,,1.4364
15,0.04688672916628705,ahc,average,geometric,14,full,,1.8965
18,0.03947995564178718,ahc,average,geometric,14,full,,2.1853
4,0.09638358547883595,ahc,complete,geometric,14,full,,1.0634
7,0.05638948911807286,ahc,complete,geometric,14,full,,1.7026
9,0.06309034260422534,ahc,complete,geometric,14,full,,2.2181
10,0.05011308473671819,ahc,complete,geometric,14,full,,2.4019
12,0.045710644318049276,ahc,complete,geometric,14,full,,2.5013
15,0.04863275364380578,ahc,complete,geometric,14,full,,3.0728
18,0.04366440998091684,ahc,complete,geometric,14,full,,3.4221
4,0.2710989140938684,ahc,single,geometric,14,full,,0.1242
7,0.2787421737757595,ahc,single,geometric,14,full,,0.2805
9,0.128951900813018,ahc,single,geometric,14,full,,0.3629
10,0.10179956706164424,ahc,single,geometric,14,full,,0.4041
12,0.012082199270680386,ahc,single,geometric,14,full,,0.4863
15,-0.014889915756808484,ahc,single,geometric,14,full,,0.6095
18,-0.02787485178932783,ahc,single,geometric,14,full,,0.7642
4,0.22637473247998496,ahc,average,geometric,30,weekly,,0.9054
7,0.21809819852137993,ahc,average,geometric,30,weekly,,1.9029
9,0.17749546558756985,ahc,average,geometric,30,weekly,,2.1463
10,0.16933541297197358,ahc,average,geometric,30,weekly,,2.1987
12,0.1674499372005094,ahc,average,geometric,30,weekly,,2.2947
15,0.13375828242012572,ahc,average,geometric,30,weekly,,2.5017
18,0.1441052303167725,ahc,average,geometric,30,weekly,,2.8613
4,0.19372273151764674,ahc,complete,geometric,30,weekly,,1.7474
7,0.15517752042419244,ahc,complete,geometric,30,weekly,,2.0408
9,0.11536776846060236,ahc,complete,geometric,30,weekly,,2.5001
10,0.11154109028183765,ahc,complete,geometric,30,weekly,,2.8008
12,0.10269865016399143,ahc,complete,geometric,30,weekly,,3.1042
15,0.08932660476988004,ahc,complete,geometric,30,weekly,,3.4355
18,0.10142482675224838,ahc,complete,geometric,30,weekly,,3.6906
4,0.1400146849267782,ahc,single,geometric,30,weekly,,0.1566
7,0.016727808504323628,ahc,single,geometric,30,weekly,,0.2805
9,0.017668587469534466,ahc,single,geometric,30,weekly,,0.3629
10,0.00666063706019585,ahc,single,geometric,30,weekly,,0.4041
12,-0.07332054325147229,ahc,single,geometric,30,weekly,,0.5471
15,-0.1807109652638613,ahc,single,geometric,30,weekly,,0.6701
18,-0.1726565635757825,ahc,single,geometric,30,weekly,,0.8246
4,0.2033560106916759,ahc,average,geometric,30,3day,,1.2274
7,0.1670116669733243,ahc,average,geometric,30,3day,,1.5009
9,0.136005397215881,ahc,average,geometric,30,3day,,2.1871
10,0.1285320113219319,ahc,average,geometric,30,3day,,2.2488
12,0.11769650865437113,ahc,average,geometric,30,3day,,2.2795
15,0.13485961779614816,ahc,average,geometric,30,3day,,2.8819
18,0.11489789426931327,ahc,average,geometric,30,3day,,2.9488
4,0.15580586637797042,ahc,complete,geometric,30,3day,,1.8106
7,0.12691105613841144,ahc,complete,geometric,30,3day,,2.4622
9,0.12080746662626546,ahc,complete,geometric,30,3day,,2.9256
10,0.12457837432709909,ahc,complete,geometric,30,3day,,2.9822
12,0.11587307387672223,ahc,complete,geometric,30,3day,,3.1748
15,0.09583419339640192,ahc,complete,geometric,30,3day,,3.5421
18,0.09797771863142239,ahc,complete,geometric,30,3day,,3.7529
4,0.024812171414780128,ahc,single,geometric,30,3day,,0.1242
7,-0.07432364701329673,ahc,single,geometric,30,3day,,0.2805
9,-0.11332825885775243,ahc,single,geometric,30,3day,,0.3629
10,-0.1071653143825599,ahc,single,geometric,30,3day,,0.4362
12,-0.10200578634239793,ahc,single,geometric,30,3day,,0.5792
15,-0.12687282012555537,ahc,single,geometric,30,3day,,0.734
18,-0.12880946043629818,ahc,single,geometric,30,3day,,0.8564
4,0.27176104254770767,ahc,average,geometric,30,full,,0.2374
7,0.13124583871145593,ahc,average,geometric,30,full,,0.345
9,0.10188700162716435,ahc,average,geometric,30,full,,1.4052
10,0.09219345418027873,ahc,average,geometric,30,full,,1.4269
12,0.09248899191887451,ahc,average,geometric,30,full,,2.174
15,0.06670327251078396,ahc,average,geometric,30,full,,2.3802
18,0.05458297402257601,ahc,average,geometric,30,full,,2.6356
4,0.09129703515598964,ahc,complete,geometric,30,full,,1.551
7,0.06150874822954301,ahc,complete,geometric,30,full,,2.1693
9,0.07094803890615146,ahc,complete,geometric,30,full,,2.3907
10,0.06690905991232496,ahc,complete,geometric,30,full,,2.4186
12,0.05753910152141566,ahc,complete,geometric,30,full,,2.8129
15,0.047105179946923696,ahc,complete,geometric,30,full,,3.3381
18,0.05364564629168685,ahc,complete,geometric,30,full,,3.5301
4,0.25570449165442183,ahc,single,geometric,30,full,,0.1242
7,0.16771565741938274,ahc,single,geometric,30,full,,0.3127
9,0.04228311164157932,ahc,single,geometric,30,full,,0.3629
10,0.03704265754689805,ahc,single,geometric,30,full,,0.4041
12,-0.024435275304386207,ahc,single,geometric,30,full,,0.4863
15,-0.053650780198196545,ahc,single,geometric,30,full,,0.6095
18,-0.07998862947689651,ahc,single,geometric,30,full,,0.7323
4,0.3150810135883552,ahc,average,geometric,60,weekly,,1.2604
7,0.24129809638601332,ahc,average,geometric,60,weekly,,1.8538
9,0.21123809416143205,ahc,average,geometric,60,weekly,,2.1017
10,0.20773096061672086,ahc,average,geometric,60,weekly,,2.1978
12,0.20262082270814885,ahc,average,geometric,60,weekly,,2.3949
15,0.1859523507052299,ahc,average,geometric,60,weekly,,2.5693
18,0.1735566586149025,ahc,average,geometric,60,weekly,,2.6938
4,0.24156132576367217,ahc,complete,geometric,60,weekly,,1.7033
7,0.19972587983114465,ahc,complete,geometric,60,weekly,,2.0654
9,0.12714518546072653,ahc,complete,geometric,60,weekly,,2.602
10,0.1210839718921313,ahc,complete,geometric,60,weekly,,2.6982
12,0.10777078146338198,ahc,complete,geometric,60,weekly,,2.9451
15,0.12804109139223002,ahc,complete,geometric,60,weekly,,3.3138
18,0.11476240745314986,ahc,complete,geometric,60,weekly,,3.7172
4,-0.01494507824148857,ahc,single,geometric,60,weekly,,0.1242
7,-0.09189989371842097,ahc,single,geometric,60,weekly,,0.2805
9,-0.09935607591713082,ahc,single,geometric,60,weekly,,0.3629
10,-0.10123061263195078,ahc,single,geometric,60,weekly,,0.4041
12,-0.17636548978782784,ahc,single,geometric,60,weekly,,0.4542
15,-0.2018018622465003,ahc,single,geometric,60,weekly,,0.6095
18,-0.20482149322215637,ahc,single,geometric,60,weekly,,0.7961
4,0.19051123994504995,ahc,average,geometric,60,3day,,0.592
7,0.17861560263955886,ahc,average,geometric,60,3day,,1.6461
9,0.17100367511375417,ahc,average,geometric,60,3day,,2.1853
10,0.16694266798751173,ahc,average,geometric,60,3day,,2.2086
12,0.16363910450357705,ahc,average,geometric,60,3day,,2.3848
15,0.15656757285798453,ahc,average,geometric,60,3day,,2.8337
18,0.13645707575831265,ahc,average,geometric,60,3day,,2.9974
4,0.21166758003373926,ahc,complete,geometric,60,3day,,1.6688
7,0.16176092915281168,ahc,complete,geometric,60,3day,,2.0957
9,0.10882448377609577,ahc,complete,geometric,60,3day,,2.5198
10,0.10873520672860597,ahc,complete,geometric,60,3day,,2.6503
12,0.1013572556147578,ahc,complete,geometric,60,3day,,3.188
15,0.1073607184926978,ahc,complete,geometric,60,3day,,3.5009
18,0.10801070576849688,ahc,complete,geometric,60,3day,,3.6927
4,0.04932869862244206,ahc,single,geometric,60,3day,,0.1242
7,0.007746759656477317,ahc,single,geometric,60,3day,,0.2805
9,-0.009697139158470406,ahc,single,geometric,60,3day,,0.3629
10,-0.06543005944690981,ahc,single,geometric,60,3day,,0.4041
12,-0.08661128922002485,ahc,single,geometric,60,3day,,0.5184
15,-0.09269955703727893,ahc,single,geometric,60,3day,,0.6735
