clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
10,0.024348373848315237,kmeans,not_applicable,geometric,7,3day,33.40624559122361,3.1766
12,0.02524833189910377,kmeans,not_applicable,geometric,7,3day,32.26754910907488,3.2344
15,0.029713335835567897,kmeans,not_applicable,geometric,7,3day,30.935986600177344,3.5906
18,0.005464845631979822,kmeans,not_applicable,geometric,7,3day,30.04572726328063,3.9505
4,0.036470880139340835,kmeans,not_applicable,geometric,7,full,83.4513042990597,1.9041
7,0.011284618568731067,kmeans,not_applicable,geometric,7,full,80.57779564760885,2.5687
9,0.029044686782067154,kmeans,not_applicable,geometric,7,full,76.56832714936264,2.9002
10,0.017567220207134,kmeans,not_applicable,geometric,7,full,75.71030491125778,3.1965
12,0.007802345150076489,kmeans,not_applicable,geometric,7,full,74.24825442727848,3.3977
15,0.01168947131259206,kmeans,not_applicable,geometric,7,full,71.57986186754354,3.5902
18,0.011675617065721938,kmeans,not_applicable,geometric,7,full,68.82595083032528,3.8202
4,0.11110823149818777,kmeans,not_applicable,geometric,10,weekly,13.621873593994698,1.97
7,0.08789974709708148,kmeans,not_applicable,geometric,10,weekly,12.263270094654745,2.7435
9,0.07667359609160025,kmeans,not_applicable,geometric,10,weekly,11.762170331358451,3.0446
10,0.0745105977691791,kmeans,not_applicable,geometric,10,weekly,11.444382540729606,3.1163
12,0.044649286712842295,kmeans,not_applicable,geometric,10,weekly,11.142462914652425,3.3526
15,0.0706484920154735,kmeans,not_applicable,geometric,10,weekly,10.295979640715313,3.7046
18,0.035949623020973515,kmeans,not_applicable,geometric,10,weekly,10.144848509966279,3.931
4,0.052607150711465246,kmeans,not_applicable,geometric,10,3day,31.767714597449547,1.962
7,0.03981447586669242,kmeans,not_applicable,geometric,10,3day,29.466434136009262,2.6551
9,0.03677535880470011,kmeans,not_applicable,geometric,10,3day,27.760327901279442,3.0392
10,0.03018077093784646,kmeans,not_applicable,geometric,10,3day,27.810948743573324,3.2127
12,0.02358653165653783,kmeans,not_applicable,geometric,10,3day,26.97961779841801,3.2723
15,0.040409471587760475,kmeans,not_applicable,geometric,10,3day,25.457254000990208,3.7103
18,0.014389665106194707,kmeans,not_applicable,geometric,10,3day,24.979399753361236,3.9894
4,0.0368324297564562,kmeans,not_applicable,geometric,10,full,69.53650149214975,1.9676
7,0.01964701452096459,kmeans,not_applicable,geometric,10,full,65.86099310923329,2.6993
9,0.009958721724153768,kmeans,not_applicable,geometric,10,full,64.35620809747394,2.9976
10,0.015486559976238146,kmeans,not_applicable,geometric,10,full,63.44897208733501,3.1867
12,0.018531107753208275,kmeans,not_applicable,geometric,10,full,61.431271160190356,3.1435
15,0.020333162004541355,kmeans,not_applicable,geometric,10,full,59.05435267807449,3.7106
18,0.013008945717882822,kmeans,not_applicable,geometric,10,full,57.151354698236815,3.7678
4,0.13043947841432688,kmeans,not_applicable,geometric,14,weekly,12.085293379404307,1.9824
7,0.07559744510323922,kmeans,not_applicable,geometric,14,weekly,10.733096337265957,2.7394
9,0.11222552548021213,kmeans,not_applicable,geometric,14,weekly,9.982493676356418,2.9951
10,0.08627528989555726,kmeans,not_applicable,geometric,14,weekly,9.79852932173908,3.2126
12,0.06845348300737081,kmeans,not_applicable,geometric,14,weekly,9.279291444591665,3.4612
15,0.0608130115432046,kmeans,not_applicable,geometric,14,weekly,8.706912547205928,3.7635
18,0.06554319366827945,kmeans,not_applicable,geometric,14,weekly,8.347055230754053,4.0031
4,0.06500457994582094,kmeans,not_applicable,geometric,14,3day,26.613571745498394,1.9562
