clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
10,0.06440441253588497,kshape,not_applicable,geometric,30,3day,0.061750157036957944,3.2246
12,0.09776183137266166,kshape,not_applicable,geometric,30,3day,0.05611761690073646,3.4741
15,0.04484678304244287,kshape,not_applicable,geometric,30,3day,0.05013617922990729,3.8176
18,0.11974851904434555,kshape,not_applicable,geometric,30,3day,0.04676211502536253,4.0013
4,0.11801451896655252,kshape,not_applicable,geometric,30,full,0.13505266158793505,1.9762
7,0.1263544340304244,kshape,not_applicable,geometric,30,full,0.10868626738351872,2.6671
9,0.11970321785165153,kshape,not_applicable,geometric,30,full,0.09877355612812644,3.0338
10,0.14389734780819782,kshape,not_applicable,geometric,30,full,0.09429780908983477,3.1576
12,0.14089651732982567,kshape,not_applicable,geometric,30,full,0.08575730562545149,3.3957
15,0.146907116862695,kshape,not_applicable,geometric,30,full,0.0768512872680853,3.6154
18,0.1035058156176881,kshape,not_applicable,geometric,30,full,0.06688449247096967,3.9992
4,-0.02294748035677138,kshape,not_applicable,geometric,60,weekly,0.062027522209896914,1.8775
7,-0.15183716410764425,kshape,not_applicable,geometric,60,weekly,0.04705631070439852,2.6139
9,-0.24476786459689984,kshape,not_applicable,geometric,60,weekly,0.04371784298695838,2.9925
10,-0.14149515734692203,kshape,not_applicable,geometric,60,weekly,0.04042305285099599,3.1058
12,-0.17008039881757425,kshape,not_applicable,geometric,60,weekly,0.03723644308836578,3.3958
15,-0.24322319716935076,kshape,not_applicable,geometric,60,weekly,0.034303332874665124,3.6652
18,-0.23021514736218124,kshape,not_applicable,geometric,60,weekly,0.028494191552850396,3.8799
4,0.06223499574025236,kshape,not_applicable,geometric,60,3day,0.05680162666449104,1.9484
7,0.048681220607779616,kshape,not_applicable,geometric,60,3day,0.03947403552652967,2.6881
9,-0.0106888199319811,kshape,not_applicable,geometric,60,3day,0.03710939918245086,3.0046
10,-0.009327768254302898,kshape,not_applicable,geometric,60,3day,0.03423422359480219,3.1913
12,0.00028890508011611806,kshape,not_applicable,geometric,60,3day,0.03188358195724126,3.5167
15,-0.03484187969354397,kshape,not_applicable,geometric,60,3day,0.029232165304749372,3.7466
18,-0.11203381516721377,kshape,not_applicable,geometric,60,3day,0.026772318912357457,3.9188
4,0.10643483551405412,kshape,not_applicable,geometric,60,full,0.09519398615273303,1.9869
7,0.10717967056311851,kshape,not_applicable,geometric,60,full,0.07510824990502767,2.7189
9,0.10807873242887882,kshape,not_applicable,geometric,60,full,0.06793084576763284,3.0619
10,0.07064345145260356,kshape,not_applicable,geometric,60,full,0.06561337697769062,3.2082
12,0.0993614031025477,kshape,not_applicable,geometric,60,full,0.058441986472185604,3.4709
15,0.07622385884039239,kshape,not_applicable,geometric,60,full,0.05234598996019409,3.7664
18,0.06827731540182688,kshape,not_applicable,geometric,60,full,0.0502138026236393,4.0109
