clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy
18,0.043147472858137054,ahc,complete,geometric,10,3day,,3.8469
4,0.05360178767523168,ahc,single,geometric,10,3day,,0.1286
7,-0.028792932969976037,ahc,single,geometric,10,3day,,0.2569
9,-0.05045403001597704,ahc,single,geometric,10,3day,,0.3423
10,-0.051437320381988325,ahc,single,geometric,10,3day,,0.385
12,-0.06237371288263145,ahc,single,geometric,10,3day,,0.4701
15,-0.08687624463273413,ahc,single,geometric,10,3day,,0.5977
18,-0.0916773449718442,ahc,single,geometric,10,3day,,0.7579
4,0.0871135790999597,ahc,average,geometric,10,full,,0.2254
7,0.03945892171071238,ahc,average,geometric,10,full,,0.593
9,0.02284509438364134,ahc,average,geometric,10,full,,0.6482
10,0.01692272350321141,ahc,average,geometric,10,full,,0.6694
12,0.050476185690156376,ahc,average,geometric,10,full,,1.6045
15,0.042594165693140354,ahc,average,geometric,10,full,,1.9425
18,0.03940871472425871,ahc,average,geometric,10,full,,2.2512
4,0.03168482793985592,ahc,complete,geometric,10,full,,1.0561
7,0.05305215720129817,ahc,complete,geometric,10,full,,2.2111
9,0.0397814075696224,ahc,complete,geometric,10,full,,2.6173
10,0.03857300190365419,ahc,complete,geometric,10,full,,2.6914
12,0.0436924560315973,ahc,complete,geometric,10,full,,3.0688
15,0.04733402965307651,ahc,complete,geometric,10,full,,3.2249
18,0.049199410849801395,ahc,complete,geometric,10,full,,3.5754
4,0.08074002765197594,ahc,single,geometric,10,full,,0.1286
7,0.011640176239703433,ahc,single,geometric,10,full,,0.2569
9,0.007096274251323409,ahc,single,geometric,10,full,,0.3423
10,-0.006947276422453375,ahc,single,geometric,10,full,,0.385
12,-0.03962614008033567,ahc,single,geometric,10,full,,0.4701
15,-0.043081609507830076,ahc,single,geometric,10,full,,0.5977
18,-0.04947362820767341,ahc,single,geometric,10,full,,0.7249
4,0.12004747807874208,ahc,average,geometric,14,weekly,,1.1633
7,0.10444836364171793,ahc,average,geometric,14,weekly,,1.9976
9,0.09397012639726897,ahc,average,geometric,14,weekly,,2.2887
10,0.11461182897533682,ahc,average,geometric,14,weekly,,2.7266
12,0.10430053371503352,ahc,average,geometric,14,weekly,,2.8195
15,0.09426217975150733,ahc,average,geometric,14,weekly,,3.0432
18,0.08875657590036104,ahc,average,geometric,14,weekly,,3.1825
4,0.13092359348416438,ahc,complete,geometric,14,weekly,,1.8867
7,0.1065713461367857,ahc,complete,geometric,14,weekly,,2.6531
9,0.09974823547475127,ahc,complete,geometric,14,weekly,,2.8773
10,0.09709350768064638,ahc,complete,geometric,14,weekly,,3.0857
12,0.0936979773364278,ahc,complete,geometric,14,weekly,,3.2741
15,0.08669982903986165,ahc,complete,geometric,14,weekly,,3.4352
18,0.07623834584685477,ahc,complete,geometric,14,weekly,,3.7333
4,0.058643927240211925,ahc,single,geometric,14,weekly,,0.1621
