,clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy,silhouette_norm,entropy_norm_clusters,ari_mean,nmi_mean
25,9,0.1569849014901252,kshape,not_applicable,geometric,1,full,0.172015467377678,2.8237,0.9959395014920092,0.8907781725798622,0.8457225405616318,0.8429680808844334
26,10,0.1334239540330476,kshape,not_applicable,geometric,1,full,0.1667120198635153,3.0231,0.9391397449036749,0.9100437798917815,0.6377535778096268,0.7220543820531189
27,2,0.0824397681774271,kshape,not_applicable,geometric,7,weekly,0.1803218269227574,0.998,0.8162291806435041,0.998,0.11072455758989747,0.08794085843209462
28,3,0.0742553021855786,kshape,not_applicable,geometric,7,weekly,0.1601255670611277,1.5756,0.7964984089082254,0.9940929197271884,0.08114581219259509,0.08701534888286944
29,4,0.0729840390064449,kshape,not_applicable,geometric,7,weekly,0.1377410833198209,1.9997,0.7934337002726304,0.99985,0.11732150824746143,0.14157011125622826
30,5,0.0887718362834985,kshape,not_applicable,geometric,7,weekly,0.1285730665093107,2.2654,0.8314942682542984,0.9756546746594648,0.1967587545650307,0.240424198005808
31,6,0.0729834898246223,kshape,not_applicable,geometric,7,weekly,0.1173084307569709,2.5322,0.7934323763278313,0.9795886784793062,0.1632697172211336,0.23609117186927975
32,7,0.0743363368153984,kshape,not_applicable,geometric,7,weekly,0.1121852047279097,2.7345,0.7966937638385556,0.9740485531468867,0.166783332521503,0.2712517565755345
33,8,0.0725314450320796,kshape,not_applicable,geometric,7,weekly,0.1066226951862479,2.8549,0.792342605458887,0.9516333333333334,0.19227658228789696,0.3158824495149716
34,9,0.0766699340223944,kshape,not_applicable,geometric,7,weekly,0.1017687973959344,2.9884,0.8023195033625734,0.9427352377864717,0.1726794268963086,0.32955003643924485
35,10,0.1077424574833659,kshape,not_applicable,geometric,7,weekly,0.0982337793616143,3.2294,0.87722785636424,0.9721462679972609,0.1896723850098579,0.35869540476952166
36,2,0.0788769882469674,kshape,not_applicable,geometric,7,3day,0.2362051341965155,0.9824,0.807640178304079,0.9824,0.1949859876247867,0.15411106780415948
37,3,0.0811453233798555,kshape,not_applicable,geometric,7,3day,0.2120188112117772,1.526,0.8131085867220141,0.9627988039500441,0.26006236752653455,0.2376224736408885
38,4,0.0771138214999623,kshape,not_applicable,geometric,7,3day,0.1877694023613293,1.9864,0.8033896089143301,0.9932,0.2386919082990119,0.25005277065393766
39,5,0.0981800563614831,kshape,not_applicable,geometric,7,3day,0.1719307054260883,2.2711,0.8541752156708879,0.978109531040483,0.27652230118923077,0.30759119003825697
40,6,0.0962829137496212,kshape,not_applicable,geometric,7,3day,0.1622299691865052,2.4575,0.8496016628134139,0.950690773778886,0.24834830553731374,0.3239396816112342
41,7,0.1100605768333072,kshape,not_applicable,geometric,7,3day,0.1532328194575641,2.6934,0.8828162825113313,0.9594084377567469,0.28485791192666554,0.3821006992727214
42,8,0.1188454318994872,kshape,not_applicable,geometric,7,3day,0.1423522965993541,2.8535,0.9039944473678947,0.9511666666666666,0.27707247001429747,0.38622978568218513
43,9,0.118517257551598,kshape,not_applicable,geometric,7,3day,0.1299933292793867,3.0734,0.9032032982380646,0.9695497523132587,0.2487444866824361,0.3798864618928591
44,10,0.1204315453787678,kshape,not_applicable,geometric,7,3day,0.1258579513400995,3.216,0.9078181840707051,0.9681124660553636,0.21538071966850975,0.3942765429591027
45,2,0.104348739997434,kshape,not_applicable,geometric,7,full,0.2546929459739617,0.9084,0.8690464227660508,0.9084,0.4036124083948156,0.3258518205510638
46,3,0.1050321071226856,kshape,not_applicable,geometric,7,full,0.2213921004474202,1.5116,0.8706938559367869,0.9537134154986152,0.4558224314837355,0.40829269218868736
47,4,0.1102308110943882,kshape,not_applicable,geometric,7,full,0.2019668762171099,1.9096,0.8832266762193945,0.9548,0.4717765377333812,0.4633703137350173
48,5,0.1191842694324687,kshape,not_applicable,geometric,7,full,0.1812851204209891,2.1949,0.9048113028628362,0.9452919773152905,0.5389778590991934,0.5415105960172334
49,6,0.1214512966721082,kshape,not_applicable,geometric,7,full,0.1717841506730376,2.4047,0.9102765582658809,0.9302649455569022,0.4150237168348523,0.4747073460572837
50,7,0.1244400055939808,kshape,not_applicable,geometric,7,full,0.1603040901193937,2.6429,0.9174816139872184,0.9414199748077918,0.40382724975252965,0.5136998748942777
51,8,0.1169562385083475,kshape,not_applicable,geometric,7,full,0.1548348090254877,2.756,0.8994400581626002,0.9186666666666666,0.3814576187949005,0.49225756076460586
52,9,0.1103101642803368,kshape,not_applicable,geometric,7,full,0.1470514658694356,2.993,0.8834179775944603,0.944186376219686,0.441599027563223,0.5485669178310784
53,10,0.1147585444252749,kshape,not_applicable,geometric,7,full,0.1413474289492668,3.0424,0.8941419482626671,0.9158536588080965,0.40654841623265164,0.5660115320325101
54,2,0.0679428408513581,kshape,not_applicable,geometric,10,weekly,0.1580752144475831,0.9971,0.7812805884911906,0.9971,0.11117313627987496,0.08801723579992393
55,3,0.0745329025413325,kshape,not_applicable,geometric,10,weekly,0.1334741992116311,1.5846,0.7971676363518323,0.9997712875093315,0.11516217199509508,0.11778657621073968
56,4,0.0596817375613522,kshape,not_applicable,geometric,10,weekly,0.1277734084174487,1.9856,0.7613650627306819,0.9928,0.1462114260458987,0.17315455124518542
57,5,0.0691103828613738,kshape,not_applicable,geometric,10,weekly,0.1153514217491361,2.2003,0.7840952504268518,0.9476176307288867,0.14266301030863404,0.19234008892797333
58,6,0.0703555768885787,kshape,not_applicable,geometric,10,weekly,0.1006943961070195,2.5695,0.7870971126303702,0.9940182881891547,0.13164185307987603,0.22092628544403048
59,7,0.068911849938713,kshape,not_applicable,geometric,10,weekly,0.0954034066655979,2.7563,0.7836166354771581,0.9818138698258415,0.11774980660600201,0.2266379818102808
60,8,0.0618867749393584,kshape,not_applicable,geometric,10,weekly,0.0888794916665972,2.8797,0.7666808755419917,0.9599000000000001,0.12031357083145723,0.2570215208215887
61,9,0.0677859032068479,kshape,not_applicable,geometric,10,weekly,0.0847325720116996,3.0763,0.7809022497158097,0.9704646004559373,0.14780923741849744,0.3070524081209149
62,10,0.0539780976368832,kshape,not_applicable,geometric,10,weekly,0.0813129263738607,3.2449,0.7476149637600216,0.9768122329300526,0.15056424745478691,0.3278253183330266
63,2,0.0777548960020724,kshape,not_applicable,geometric,10,3day,0.2238133156032237,0.9703,0.804935084780323,0.9703,0.17686972660922579,0.14426390497706715
64,3,0.0779241124085133,kshape,not_applicable,geometric,10,3day,0.1937441845389473,1.5039,0.8053430246865643,0.9488552563961149,0.18578610612825633,0.18386485660641833
65,4,0.0786853362092191,kshape,not_applicable,geometric,10,3day,0.1741482962109797,1.9322,0.8071781515068293,0.9661,0.24669121041089806,0.2592888659827578
66,5,0.0742164685019895,kshape,not_applicable,geometric,10,3day,0.1595346065870188,2.2706,0.7964047902717377,0.9778941927614463,0.21052025426945375,0.25455608780658023
67,6,0.0947459085409548,kshape,not_applicable,geometric,10,3day,0.1474011316818461,2.4949,0.845896314296072,0.9651590687694578,0.21550082183257752,0.29225614457451987
68,7,0.0765646395825976,kshape,not_applicable,geometric,10,3day,0.1458445943771875,2.6864,0.8020656638868282,0.9569149874469907,0.23226377598973394,0.3368132749424225
69,8,0.0981591943187753,kshape,not_applicable,geometric,10,3day,0.1309437638653449,2.8503,0.854124922322121,0.9501,0.23311492479558543,0.36331343312558434
70,9,0.097696540724686,kshape,not_applicable,geometric,10,3day,0.1271144155735039,3.0746,0.8530095761936657,0.9699283101654017,0.21437400694865702,0.35902043969725644
71,10,0.1093863404648765,kshape,not_applicable,geometric,10,3day,0.1164645159166391,3.2651,0.8811908613910799,0.982893038842465,0.2576782203070593,0.4277545638652551
72,2,0.0848323970060326,kshape,not_applicable,geometric,10,full,0.2471060798968972,0.9946,0.8219972311566934,0.9946,0.3177487873863417,0.25145704817698467
73,3,0.0970278054324313,kshape,not_applicable,geometric,10,full,0.2130387695494206,1.5236,0.8513974168400873,0.9612845725414727,0.3149655471855844,0.2905218162994929
74,4,0.0910567182828319,kshape,not_applicable,geometric,10,full,0.1972749964484555,1.9174,0.8370025671727368,0.9587,0.28286391207360934,0.2994042328255183
75,5,0.1076961009042431,kshape,not_applicable,geometric,10,full,0.179591060388845,2.238,0.8771161018426853,0.9638541369682537,0.37661099606919024,0.4116761114675277
