Unnamed: 0,clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy,silhouette_norm,entropy_norm_clusters,ari_mean,nmi_mean,ari_norm,nmi_norm,stability_score,renormalized_silhouette,renormalized_inertia,renormalized_stability,final_score,exchange_v_measure,sector_v_measure,market_v_measure,region_v_measure
8,10,0.104327691522854,kshape,not_applicable,geometric,1,weekly,0.1500360259160125,3.1504,0.8689956799750456,0.9483648983398064,0.5139792302485233,0.6155276260210403,0.5923995963735409,0.7212076150750965,0.6568036057243187,0.7231961824802493,0.5808754744506223,0.34319639427568127,0.5490893504021842,0.4510132576360056,0.3174223751304416,0.437156450636977,0.3305423578471624
5,7,0.1233200082331038,kshape,not_applicable,geometric,1,weekly,0.1763107666679013,2.6758,0.9147815707231144,0.9531391912636458,0.505862033656646,0.5625403243397538,0.5824263052646959,0.6562567416021517,0.6193415234334239,0.8199388650512782,0.48479022381072334,0.38065847656657614,0.5617958551428592,0.43896119731321387,0.29234112838270476,0.4333016703690051,0.35271279048346943
3,5,0.113882310728465,kshape,not_applicable,geometric,1,weekly,0.1998319324446475,2.217,0.89202956034686,0.9548099292487126,0.4868171464245457,0.4634904465878786,0.5590265757705342,0.5348431977295309,0.5469348867500325,0.7718653104753945,0.3987746421407574,0.45306511324996745,0.5412350219553731,0.40835388967831054,0.24127885239936545,0.4226978441652111,0.34474173059847146
6,8,0.1194384769581376,kshape,not_applicable,geometric,1,weekly,0.1708660405237149,2.8247,0.9054241358402544,0.9415666666666668,0.4431896536610903,0.5348380384824367,0.5054231326662524,0.6222997819809111,0.5638614573235817,0.8001671987636725,0.5047012813990709,0.4361385426764183,0.5803356742797204,0.4227624081115391,0.31020741154855375,0.4199047226425634,0.3320268932160855
10,3,0.1005365906753624,kshape,not_applicable,geometric,1,3day,0.265990075228358,1.5335,0.859856251022469,0.96753077710183,0.4477607897426191,0.4146484380592009,0.5110395139283312,0.4749735494279077,0.4930065316781195,0.7038851488934039,0.15683803118538286,0.5069934683218805,0.4559055494668891,0.37027848547423764,0.1612773272548567,0.41304435555304503,0.3932609210653651
7,9,0.1111516968811996,kshape,not_applicable,geometric,1,weekly,0.1580141871290165,2.9792,0.8854467095449572,0.9398329609200432,0.4314219100898669,0.5491487655940213,0.4909645531552556,0.6398416117483747,0.5654030824518151,0.7579561643359196,0.5516997871608476,0.43459691754818486,0.581417623014984,0.424442390455372,0.3083089550119137,0.41020499171679237,0.3047288227708379
4,6,0.1199665389741515,kshape,not_applicable,geometric,1,weekly,0.1885652495840846,2.4359,0.9066971658840496,0.94233475314262,0.3753293633615273,0.4372094953366049,0.42204577174764196,0.5026284842923877,0.4623371280200148,0.8028570304873337,0.4399762683246282,0.5376628719799852,0.5934987235973157,0.41378656759463517,0.29487878399723033,0.4091255222738735,0.3049431952737629
44,10,0.1204315453787678,kshape,not_applicable,geometric,7,3day,0.1258579513400995,3.216,0.9078181840707052,0.9681124660553636,0.2153807196685097,0.3942765429591027,0.22552294912539916,0.45000204985977854,0.33776249949258885,0.8052256708002352,0.669293334689634,0.6622375005074111,0.7122521686657602,0.37680087284828734,0.3321745223360575,0.36360600061583265,0.23662585183849444
107,10,0.1225884217304135,kshape,not_applicable,geometric,14,full,0.1235600655037236,3.1888,0.9130178922737726,0.9599244501733032,0.2294133856853261,0.407973886166091,0.2427643528089014,0.4667920047607429,0.35477817878482215,0.8162123243726036,0.6776965740827451,0.6452218212151779,0.7130435732235089,0.37361395514375434,0.3477702488944725,0.3604732255518904,0.24521712824763897
77,7,0.1232414036194546,kshape,not_applicable,geometric,10,full,0.1544690788453507,2.6741,0.9145920739751534,0.952533639045562,0.3761987224024854,0.4564873320536042,0.42311392017739147,0.5262589069353303,0.4746864135563609,0.8195384704441908,0.5646640489664421,0.5253135864436391,0.6365053686180907,0.3600772020866066,0.31416436163318917,0.35802178932297846,0.2579216966392685
