,clusters,silhouette_score,method,linkage,return_mode,window_size/span,df_mode,window_size,min_per_cluster,max_per_cluster,min_max_delta,silhouette_norm,delta_norm,total_score
589,5,0.039511363292295,kmeans,not_applicable,geometric,21,full,,,,,0.39944058373449837,,
590,6,0.0421958205640413,kmeans,not_applicable,geometric,21,full,,,,,0.40223653541379023,,
591,7,0.0620210453479621,kmeans,not_applicable,geometric,21,full,,,,,0.4228851674893842,,
592,4,0.3465291842932974,kmeans,not_applicable,geometric,21,weekly,21.0,0.1577,0.3288,0.1712,0.719209872385485,0.8530247238295634,0.7861172981075242
593,5,0.3177117441818077,kmeans,not_applicable,geometric,21,weekly,21.0,0.1081,0.3378,0.2297,0.6891955484770256,0.7914781693845345,0.74033685893078
594,6,0.3282806270953934,kmeans,not_applicable,geometric,21,weekly,21.0,0.036,0.3153,0.2793,0.7002033921262769,0.73929510783798,0.7197492499821285
595,7,0.3170810448405428,kmeans,not_applicable,geometric,21,weekly,21.0,0.036,0.2027,0.1667,0.6885386541018022,0.8577590741714887,0.7731488641366454
596,4,0.1653751428942564,kmeans,not_applicable,geometric,30,3day,30.0,0.2072,0.2883,0.0811,0.53053190325146,0.9478169384534455,0.7391744208524528
597,5,0.1587616789788282,kmeans,not_applicable,geometric,30,3day,30.0,0.036,0.3649,0.3288,0.523643760260736,0.6872172540768018,0.6054305071687689
598,6,0.1292434873868216,kmeans,not_applicable,geometric,30,3day,30.0,0.0946,0.2568,0.1622,0.49289958034028547,0.8624934245134139,0.6776965024268498
599,7,0.1390332175162584,kmeans,not_applicable,geometric,30,3day,30.0,0.0135,0.2523,0.2387,0.5030959104079297,0.7820094687006839,0.6425526895543068
600,4,0.1382324530052959,kmeans,not_applicable,geometric,30,full,,,,,0.502261887492867,,
601,5,0.0961342429208933,kmeans,not_applicable,geometric,30,full,30.0,0.036,0.3694,0.3333,0.4584151992182953,0.6824829037348764,0.5704490514765859
602,6,0.1289612469864352,kmeans,not_applicable,geometric,30,full,30.0,0.018,0.4189,0.4009,0.4926056175606466,0.6113624408206207,0.5519840291906337
603,7,0.0902793856053486,kmeans,not_applicable,geometric,30,full,30.0,0.0225,0.2703,0.2477,0.4523171702737845,0.7725407680168332,0.6124289691453089
604,4,0.5790291086251727,kmeans,not_applicable,geometric,30,weekly,30.0,0.1532,0.3874,0.2342,0.9613662891453094,0.7867438190426091,0.8740550540939593
605,5,0.494024746114943,kmeans,not_applicable,geometric,30,weekly,30.0,0.0946,0.2973,0.2027,0.8728314137315532,0.8198842714360863,0.8463578425838197
606,6,0.4824680799031526,kmeans,not_applicable,geometric,30,weekly,30.0,0.0405,0.2928,0.2523,0.8607947608699296,0.7677012098895317,0.8142479853797306
607,7,0.4712249918070179,kmeans,not_applicable,geometric,30,weekly,30.0,0.0811,0.2883,0.2072,0.8490847100623915,0.815149921094161,0.8321173155782762
608,4,0.0230073064329376,kmeans,not_applicable,geometric,3,3day,,,,,0.3822510586946639,,
609,5,0.0230060467259052,kmeans,not_applicable,geometric,3,3day,3.0,0.0721,0.2748,0.2027,0.3822497466678234,0.8198842714360863,0.6010670090519549
610,6,0.0188755250581675,kmeans,not_applicable,geometric,3,3day,3.0,0.0315,0.4234,0.3919,0.3779476707455086,0.6208311415044714,0.49938940612499
611,7,0.017420510685753,kmeans,not_applicable,geometric,3,3day,3.0,0.045,0.2342,0.1892,0.37643222480387895,0.8340873224618621,0.6052597736328705
612,4,0.0245148152368474,kmeans,not_applicable,geometric,3,full,,,,,0.38382117933551024,,
613,5,0.0242035275739465,kmeans,not_applicable,geometric,3,full,3.0,0.0495,0.455,0.4054,0.38349696286427376,0.6066280904786954,0.49506252667148454
614,6,0.0295750145556767,kmeans,not_applicable,geometric,3,full,3.0,0.0856,0.2793,0.1937,0.3890915455029809,0.8293529721199369,0.6092222588114589
615,7,0.0296483785262887,kmeans,not_applicable,geometric,3,full,3.0,0.0586,0.2523,0.1937,0.38916795652244135,0.8293529721199369,0.6092604643211891
616,4,0.0591374635348512,kmeans,not_applicable,geometric,3,weekly,,,,,0.4198818209665699,,
617,5,0.0158773833737957,kmeans,not_applicable,geometric,3,weekly,3.0,0.0721,0.2568,0.1847,0.37482500630029614,0.8388216728037875,0.6068233395520418
618,6,0.0433481969001026,kmeans,not_applicable,geometric,3,weekly,3.0,0.0856,0.3108,0.2252,0.403436773758389,0.7962125197264598,0.5998246467424244
619,7,0.0368779698331519,kmeans,not_applicable,geometric,3,weekly,3.0,0.0541,0.2162,0.1622,0.396697816717187,0.8624934245134139,0.6295956206153005
620,4,0.3781254041112461,kmeans,not_applicable,geometric,60,3day,60.0,0.027,0.4685,0.4414,0.7521183879312736,0.568753287743293,0.6604358378372833
621,5,0.3876604550547356,kmeans,not_applicable,geometric,60,3day,60.0,0.045,0.3288,0.2838,0.7620494611422994,0.7345607574960547,0.748305109319177
