Distribution Model for Simulation/Out of Sample,Time Horizon,Portfolio Set,Original Portfolios,Reweighing Method,Cryptos,Clustering method,annualised_return,mean_period_return,sharpe_annualized,sharpe_period,VaR
multivar_norm,189,random_w_cryptos_kshape_maxsharpe,Random Portfolios,maxsharpe,Cryptos,kshape,0.499961942,0.342968526,2.235132377,1.776880521,1.954960907
multivar_norm,189,random_w_cryptos_ahc_maxsharpe,Random Portfolios,maxsharpe,Cryptos,ahc,0.500332178,0.343275022,2.23589678,1.777447033,1.956142676
multivar_norm,189,minvar_w_cryptos_kmeans_maxsharpe,Minimum Variance,maxsharpe,Cryptos,kmeans,0.377495499,0.267060922,2.646014362,2.15411872,1.184126803
multivar_norm,189,minvar_w_cryptos_kshape_maxsharpe,Minimum Variance,maxsharpe,Cryptos,kshape,0.37752954,0.267083286,2.646034077,2.154124244,1.18422438
multivar_norm,189,minvar_w_cryptos_ahc_maxsharpe,Minimum Variance,maxsharpe,Cryptos,ahc,0.354883262,0.251770141,2.601145083,2.123366971,1.12207136
multivar_norm,252,rand_ports_maxsharpe,Random Portfolios,maxsharpe,Normal,No,0.333426132,0.331831381,2.009612861,2.003833031,1.392632848
multivar_norm,252,minvar_ports_maxsharpe,Minimum Variance,maxsharpe,Normal,No,0.287001255,0.285687872,2.61413783,2.607103986,0.871116168
multivar_norm,252,random_w_cryptos_random_maxsharpe,Random Portfolios,maxsharpe,Cryptos,random,0.345403721,0.343697115,1.642711259,1.637756645,1.780957344
multivar_norm,252,minvar_w_cryptos_random_maxsharpe,Minimum Variance,maxsharpe,Cryptos,random,0.300485499,0.299086751,2.130043386,2.124138858,1.154847124
multivar_norm,252,random_w_cryptos_kmeans_maxsharpe,Random Portfolios,maxsharpe,Cryptos,kmeans,0.490402592,0.487860135,2.178356435,2.171394662,1.979205258
multivar_norm,252,random_w_cryptos_kshape_maxsharpe,Random Portfolios,maxsharpe,Cryptos,kshape,0.485553057,0.4830417,2.172920401,2.165997847,1.963490924
multivar_norm,252,random_w_cryptos_ahc_maxsharpe,Random Portfolios,maxsharpe,Cryptos,ahc,0.486148652,0.483633377,2.173710289,2.166782196,1.964196578
multivar_norm,252,minvar_w_cryptos_kmeans_maxsharpe,Minimum Variance,maxsharpe,Cryptos,kmeans,0.373165085,0.37138946,2.607478482,2.60000337,1.189293999
multivar_norm,252,minvar_w_cryptos_kshape_maxsharpe,Minimum Variance,maxsharpe,Cryptos,kshape,0.373198086,0.37142227,2.607500388,2.600025029,1.189396972
multivar_norm,252,minvar_w_cryptos_ahc_maxsharpe,Minimum Variance,maxsharpe,Cryptos,ahc,0.351020373,0.349364759,2.564662595,2.557414185,1.126830722
multivar_t,126,rand_ports_maxsharpe,Random Portfolios,maxsharpe,Normal,No,0.35313598,0.153726571,2.060669723,1.259628019,1.431683242
multivar_t,126,minvar_ports_maxsharpe,Minimum Variance,maxsharpe,Normal,No,0.294706629,0.133728035,2.60112569,1.652185436,0.896230403
multivar_t,126,random_w_cryptos_random_maxsharpe,Random Portfolios,maxsharpe,Cryptos,random,0.375264658,0.157731847,1.726779814,1.021622777,1.830306855
multivar_t,126,minvar_w_cryptos_random_maxsharpe,Minimum Variance,maxsharpe,Cryptos,random,0.312725964,0.139458113,2.150733953,1.341226517,1.187808307
multivar_t,126,random_w_cryptos_kmeans_maxsharpe,Random Portfolios,maxsharpe,Cryptos,kmeans,0.535828375,0.217879634,2.282963082,1.322979158,2.034854119
multivar_t,126,random_w_cryptos_kshape_maxsharpe,Random Portfolios,maxsharpe,Cryptos,kshape,0.530222424,0.21589521,2.275296146,1.320553478,2.018342868
multivar_t,126,random_w_cryptos_ahc_maxsharpe,Random Portfolios,maxsharpe,Cryptos,ahc,0.531021536,0.21623047,2.277332545,1.321495774,2.019209467
multivar_t,126,minvar_w_cryptos_kmeans_maxsharpe,Minimum Variance,maxsharpe,Cryptos,kmeans,0.387371563,0.170778193,2.622451029,1.619521332,1.223575144
multivar_t,126,minvar_w_cryptos_kshape_maxsharpe,Minimum Variance,maxsharpe,Cryptos,kshape,0.387407373,0.170791556,2.622479317,1.619521294,1.223682126
multivar_t,126,minvar_w_cryptos_ahc_maxsharpe,Minimum Variance,maxsharpe,Cryptos,ahc,0.36363726,0.161326539,2.574349699,1.59951532,1.159382211
multivar_t,189,rand_ports_maxsharpe,Random Portfolios,maxsharpe,Normal,No,0.340067361,0.239522536,1.972871436,1.600628475,1.443794995
multivar_t,189,minvar_ports_maxsharpe,Minimum Variance,maxsharpe,Normal,No,0.289643588,0.207345825,2.540065799,2.091486283,0.904227962
multivar_t,189,random_w_cryptos_random_maxsharpe,Random Portfolios,maxsharpe,Cryptos,random,0.35530147,0.246945201,1.625320433,1.302877368,1.846001658
multivar_t,189,minvar_w_cryptos_random_maxsharpe,Minimum Variance,maxsharpe,Cryptos,random,0.304372183,0.216484841,2.077806981,1.699303296,1.198400157
multivar_t,189,random_w_cryptos_kmeans_maxsharpe,Random Portfolios,maxsharpe,Cryptos,kmeans,0.505419987,0.345749547,2.1533755,1.7072724,2.052291433
multivar_t,189,random_w_cryptos_kshape_maxsharpe,Random Portfolios,maxsharpe,Cryptos,kshape,0.500165156,0.342335143,2.146238188,1.702677727,2.036165732
multivar_t,189,random_w_cryptos_ahc_maxsharpe,Random Portfolios,maxsharpe,Cryptos,ahc,0.500552748,0.342783094,2.147807496,1.704085125,2.03689588
multivar_t,189,minvar_w_cryptos_kmeans_maxsharpe,Minimum Variance,maxsharpe,Cryptos,kmeans,0.377656861,0.266925828,2.540051584,2.065734979,1.234897077
multivar_t,189,minvar_w_cryptos_kshape_maxsharpe,Minimum Variance,maxsharpe,Cryptos,kshape,0.377689564,0.266947253,2.540073182,2.065742445,1.235005323
multivar_t,189,minvar_w_cryptos_ahc_maxsharpe,Minimum Variance,maxsharpe,Cryptos,ahc,0.354997072,0.251631207,2.496670374,2.03611094,1.17006241
multivar_t,252,rand_ports_maxsharpe,Random Portfolios,maxsharpe,Normal,No,0.334149118,0.332544791,1.932230594,1.926636857,1.450314671
multivar_t,252,minvar_ports_maxsharpe,Minimum Variance,maxsharpe,Normal,No,0.287010405,0.285694964,2.508904877,2.50213382,0.908170155
multivar_t,252,random_w_cryptos_random_maxsharpe,Random Portfolios,maxsharpe,Cryptos,random,0.345615671,0.343897519,1.575751372,1.57095271,1.853875944
multivar_t,252,minvar_w_cryptos_random_maxsharpe,Minimum Variance,maxsharpe,Cryptos,random,0.30028398,0.298882969,2.042782288,2.037094644,1.203478776
