,clusters,silhouette_score,method,linkage,return_mode,window_size/span,df_mode,window_size,min_per_cluster,max_per_cluster,min_max_delta,silhouette_norm,delta_norm,total_score
30,6,0.207331363648219,ahc,average,arithmetic,10,weekly,10.0,0.0045,0.9144,0.9099,0.5742307049081058,0.07585481325618082,0.3250427590821433
31,7,0.1545463936828405,ahc,average,arithmetic,10,weekly,10.0,0.0045,0.9144,0.9099,0.5192534001957593,0.07585481325618082,0.29755410672597005
32,4,0.1942587255480047,ahc,complete,arithmetic,10,weekly,10.0,0.0135,0.4324,0.4189,0.560615116821173,0.5924250394529196,0.5765200781370463
33,5,0.1715029537458176,ahc,complete,arithmetic,10,weekly,10.0,0.0135,0.4324,0.4189,0.5369142223969833,0.5924250394529196,0.5646696309249515
34,6,0.160988950072629,ahc,complete,arithmetic,10,weekly,10.0,0.0135,0.4324,0.4189,0.5259635373048681,0.5924250394529196,0.5591942883788938
35,7,0.1168181961198854,ahc,complete,arithmetic,10,weekly,10.0,0.0135,0.4324,0.4189,0.4799582255461071,0.5924250394529196,0.5361916324995133
36,4,0.4572801593592292,ahc,single,arithmetic,14,3day,14.0,0.0045,0.955,0.9505,0.8345607025059312,0.03314045239347707,0.4338505774497041
37,5,0.2738420136253185,ahc,single,arithmetic,14,3day,14.0,0.0045,0.955,0.9505,0.6435037626138422,0.03314045239347707,0.33832210750365965
38,6,0.2582795997253991,ahc,single,arithmetic,14,3day,14.0,0.0045,0.9505,0.9459,0.627294990086422,0.037980010520778484,0.33263750030360023
39,7,0.1620856209396804,ahc,single,arithmetic,14,3day,14.0,0.0045,0.9505,0.9459,0.5271057565477052,0.037980010520778484,0.28254288353424184
40,4,0.3737484765653032,ahc,average,arithmetic,14,3day,14.0,0.0045,0.955,0.9505,0.7475596720779731,0.03314045239347707,0.3903500622357251
41,5,0.2368379556239389,ahc,average,arithmetic,14,3day,14.0,0.0045,0.9279,0.9234,0.6049628034417608,0.06165176223040503,0.3333072828360829
42,6,0.1955332090455642,ahc,average,arithmetic,14,3day,14.0,0.0045,0.9279,0.9234,0.5619425338423847,0.06165176223040503,0.31179714803639486
43,7,0.1362774016029046,ahc,average,arithmetic,14,3day,14.0,0.0045,0.9279,0.9234,0.5002256363261417,0.06165176223040503,0.28093869927827336
44,4,0.1111017433568842,ahc,complete,arithmetic,14,3day,14.0,0.0135,0.6126,0.5991,0.47400434955391874,0.40284061020515516,0.438422479879537
45,5,0.1231461687384114,ahc,complete,arithmetic,14,3day,14.0,0.0135,0.6126,0.5991,0.48654901984016985,0.40284061020515516,0.4446948150226625
46,6,0.127174735446017,ahc,complete,arithmetic,14,3day,14.0,0.0135,0.5586,0.545,0.4907449062749507,0.4597580220936348,0.47525146418429276
47,7,0.1081672228698044,ahc,complete,arithmetic,14,3day,14.0,0.0135,0.5586,0.545,0.4709479487051804,0.4597580220936348,0.4653529853994076
48,4,0.5357661061080792,ahc,single,arithmetic,14,full,14.0,0.0045,0.955,0.9505,0.9163064307478661,0.03314045239347707,0.4747234415706716
49,5,0.4950413848376764,ahc,single,arithmetic,14,full,14.0,0.0045,0.9505,0.9459,0.8738902768298695,0.037980010520778484,0.455935143675324
50,6,0.2588951656982514,ahc,single,arithmetic,14,full,14.0,0.0045,0.9459,0.9414,0.6279361225542863,0.04271436086270375,0.33532524170849504
51,7,0.2594040344435041,ahc,single,arithmetic,14,full,14.0,0.0045,0.9414,0.9369,0.6284661263050642,0.047448711204629124,0.33795741875484664
52,4,0.4747740121349856,ahc,average,arithmetic,14,full,14.0,0.0045,0.955,0.9505,0.852781132967036,0.03314045239347707,0.4429607926802565
53,5,0.2116816843382712,ahc,average,arithmetic,14,full,14.0,0.0045,0.9279,0.9234,0.578761708834608,0.06165176223040503,0.3202067355325065
54,6,0.1497844130695484,ahc,average,arithmetic,14,full,14.0,0.0045,0.9279,0.9234,0.5142936387450479,0.06165176223040503,0.28797270048772644
55,7,0.1391787913948451,ahc,average,arithmetic,14,full,14.0,0.0045,0.9234,0.9189,0.5032475304521671,0.06638611257233018,0.28481682151224863
56,4,0.0804468996598842,ahc,complete,arithmetic,14,full,14.0,0.018,0.9324,0.9144,0.4420763085993682,0.07112046291425556,0.2565983857568119
57,5,0.0794739097808185,ahc,complete,arithmetic,14,full,14.0,0.018,0.4955,0.4775,0.4410629072258615,0.5307732772225144,0.48591809222418797
58,6,0.0779709877128182,ahc,complete,arithmetic,14,full,14.0,0.009,0.4865,0.4775,0.43949756382326877,0.5307732772225144,0.4851354205228916
59,7,0.0820139912965107,ahc,complete,arithmetic,14,full,14.0,0.0045,0.4865,0.482,0.44370848674544827,0.5260389268805892,0.4848737068130187
60,4,0.3808562233278673,ahc,single,arithmetic,14,weekly,14.0,0.0045,0.9595,0.955,0.7549626271206676,0.028406102051551807,0.3916843645861097
61,5,0.235065503546491,ahc,single,arithmetic,14,weekly,14.0,0.0045,0.955,0.9505,0.6031167355551295,0.03314045239347707,0.31812859397430326
62,6,0.1367602933096934,ahc,single,arithmetic,14,weekly,14.0,0.0045,0.9505,0.9459,0.500728584125953,0.037980010520778484,0.26935429732336574
63,7,0.0083296235967571,ahc,single,arithmetic,14,weekly,14.0,0.0045,0.9459,0.9414,0.36696376304430844,0.04271436086270375,0.2048390619535061
64,4,0.3528330110566539,ahc,average,arithmetic,14,weekly,14.0,0.0135,0.8604,0.8468,0.7257755179669868,0.14224092582851122,0.434008221897749
65,5,0.3014872565760674,ahc,average,arithmetic,14,weekly,14.0,0.0135,0.8423,0.8288,0.6722972041284825,0.1611783271962125,0.4167377656623475
66,6,0.2655182332975869,ahc,average,arithmetic,14,weekly,14.0,0.0135,0.8288,0.8153,0.6348342681017398,0.1753813782219883,0.40510782316186406
67,7,0.2359909853498299,ahc,average,arithmetic,14,weekly,14.0,0.0045,0.8288,0.8243,0.6040806556850693,0.16591267753813776,0.38499666661160353
68,4,0.1467051661193342,ahc,complete,arithmetic,14,weekly,14.0,0.0135,0.509,0.4955,0.5110865004634968,0.5118358758548132,0.511461188159155
69,5,0.1495489273935288,ahc,complete,arithmetic,14,weekly,14.0,0.0135,0.509,0.4955,0.514048372568437,0.5118358758548132,0.5129421242116251
70,6,0.1475514762861437,ahc,complete,arithmetic,14,weekly,14.0,0.0135,0.3198,0.3063,0.5119679606964449,0.7108890057864281,0.6114284832414365
71,7,0.1162062781991761,ahc,complete,arithmetic,14,weekly,14.0,0.0135,0.3018,0.2883,0.47932089264608185,0.7298264071541294,0.6045736499001056
72,4,0.4468063346549591,ahc,single,arithmetic,21,3day,21.0,0.0045,0.955,0.9505,0.823651865148478,0.03314045239347707,0.42839615877097753
73,5,0.4309367089877756,ahc,single,arithmetic,21,3day,21.0,0.0045,0.955,0.9505,0.8071231213309127,0.03314045239347707,0.4201317868621949
74,6,0.2401006091691728,ahc,single,arithmetic,21,3day,21.0,0.0045,0.955,0.9505,0.6083609658020841,0.03314045239347707,0.3207507090977806
75,7,0.1481741984322677,ahc,single,arithmetic,21,3day,,,,,0.5126165465571746,,
76,4,0.2335612089234418,ahc,average,arithmetic,21,3day,21.0,0.0045,0.955,0.9505,0.6015499625907276,0.03314045239347707,0.3173452074921023
77,5,0.1400588893296114,ahc,average,arithmetic,21,3day,,,,,0.5041641817710575,,
78,6,0.0950368718947745,ahc,average,arithmetic,21,3day,,,,,0.45727225073646416,,
79,7,0.1425347356667992,ahc,average,arithmetic,21,3day,,,,,0.506742858212283,,
80,4,0.1758508068692398,ahc,complete,arithmetic,21,3day,21.0,0.0135,0.6847,0.6712,0.541442656270635,0.3269857969489741,0.4342142266098046
81,5,0.1708256622151796,ahc,complete,arithmetic,21,3day,21.0,0.0135,0.5,0.4865,0.5362088007043424,0.5213045765386639,0.5287566886215032
82,6,0.1468100769058569,ahc,complete,arithmetic,21,3day,,,,,0.5111957685426878,,
83,7,0.1124293104964384,ahc,complete,arithmetic,21,3day,,,,,0.47538705495671124,,
84,4,0.339181154356728,ahc,single,arithmetic,21,full,21.0,0.0045,0.955,0.9505,0.7115566544122023,0.03314045239347707,0.3723485534028397
85,5,0.2981358788664645,ahc,single,arithmetic,21,full,21.0,0.0045,0.955,0.9505,0.668806632595187,0.03314045239347707,0.35097354249433205
86,6,0.1942495715344008,ahc,single,arithmetic,21,full,21.0,0.0045,0.9505,0.9459,0.5606055826110452,0.037980010520778484,0.29929279656591184
87,7,0.0309824675270632,ahc,single,arithmetic,21,full,,,,,0.3905574546609659,,
88,4,0.2922227238170224,ahc,average,arithmetic,21,full,21.0,0.0045,0.955,0.9505,0.662647884618675,0.03314045239347707,0.347894168506076
89,5,0.2415745233623897,ahc,average,arithmetic,21,full,21.0,0.0045,0.9324,0.9279,0.6098960965367134,0.05691741188847976,0.3334067542125966
90,6,0.1820545296245637,ahc,average,arithmetic,21,full,21.0,0.0045,0.9234,0.9189,0.5479040401928778,0.06638611257233018,0.30714507638260397
91,7,0.1213786342828079,ahc,average,arithmetic,21,full,,,,,0.4847080738205165,,
92,4,0.1752370407594676,ahc,complete,arithmetic,21,full,21.0,0.018,0.9414,0.9234,0.5408033984201297,0.06165176223040503,0.30122758032526736
93,5,0.1698406570792242,ahc,complete,arithmetic,21,full,21.0,0.018,0.5631,0.545,0.5351828850405054,0.4597580220936348,0.4974704535670701
94,6,0.0861260372994502,ahc,complete,arithmetic,21,full,,,,,0.44799131964737227,,
95,7,0.0959922337558776,ahc,complete,arithmetic,21,full,,,,,0.458267291941998,,
96,4,-0.0045615092556656,ahc,single,arithmetic,21,weekly,,,,,0.3535372187196677,,
97,5,-0.0084791471219734,ahc,single,arithmetic,21,weekly,,,,,0.3494568683686133,,
98,6,-0.0114815313721006,ahc,single,arithmetic,21,weekly,,,,,0.3463297851498285,,
99,7,-0.0219444056618704,ahc,single,arithmetic,21,weekly,,,,,0.3354323530138827,,
100,4,0.3046474706443414,ahc,average,arithmetic,21,weekly,21.0,0.018,0.7928,0.7748,0.6755886723608543,0.217990531299316,0.44678960183008515
101,5,0.3040049446238396,ahc,average,arithmetic,21,weekly,21.0,0.0045,0.7883,0.7838,0.6749194601052082,0.20852183061546548,0.44172064536033684
102,6,0.3119649241064738,ahc,average,arithmetic,21,weekly,21.0,0.0045,0.7883,0.7838,0.6832100439173776,0.20852183061546548,0.44586593726642154
103,7,0.3150651978650681,ahc,average,arithmetic,21,weekly,21.0,0.0045,0.7883,0.7838,0.6864390823203494,0.20852183061546548,0.44748045646790746
104,4,0.2215339155598093,ahc,complete,arithmetic,21,weekly,21.0,0.018,0.7613,0.7432,0.5890231358718547,0.25123619147816934,0.42012966367501203
105,5,0.250446023750798,ahc,complete,arithmetic,21,weekly,21.0,0.018,0.464,0.4459,0.6191360597389114,0.5640189374013677,0.5915774985701395
106,6,0.2554457981122111,ahc,complete,arithmetic,21,weekly,21.0,0.018,0.2973,0.2793,0.624343491300219,0.73929510783798,0.6818192995690995
107,7,0.2576836065079531,ahc,complete,arithmetic,21,weekly,21.0,0.018,0.2973,0.2793,0.6266742432953655,0.73929510783798,0.6829846755666727
108,4,0.3724282884627218,ahc,single,arithmetic,30,3day,30.0,0.0045,0.9595,0.955,0.7461846521880151,0.028406102051551807,0.38729537711978346
109,5,0.3617413771830736,ahc,single,arithmetic,30,3day,30.0,0.0045,0.9595,0.955,0.7350538780634792,0.028406102051551807,0.3817299900575155
110,6,0.2084537748884197,ahc,single,arithmetic,30,3day,30.0,0.0045,0.955,0.9505,0.5753997336071001,0.03314045239347707,0.30427009300028857
111,7,0.1362942752217713,ahc,single,arithmetic,30,3day,30.0,0.0045,0.9505,0.9459,0.5002432107623238,0.037980010520778484,0.26911161064155115
112,4,0.2916997509872692,ahc,average,arithmetic,30,3day,30.0,0.0045,0.955,0.9505,0.6621031909940223,0.03314045239347707,0.34762182169374967
113,5,0.2901134234437736,ahc,average,arithmetic,30,3day,30.0,0.0045,0.955,0.9505,0.6604509780101077,0.03314045239347707,0.34679571520179236
114,6,0.2439377639365139,ahc,average,arithmetic,30,3day,30.0,0.0045,0.9505,0.9459,0.6123574903243281,0.037980010520778484,0.3251687504225533
115,7,0.2248800785455494,ahc,average,arithmetic,30,3day,30.0,0.0045,0.9324,0.9279,0.5925082760965222,0.05691741188847976,0.324712843992501
116,4,0.2167897979122555,ahc,complete,arithmetic,30,3day,30.0,0.0135,0.4685,0.455,0.5840819792950516,0.554445028932141,0.5692635041135963
117,5,0.2063457572473101,ahc,complete,arithmetic,30,3day,30.0,0.0135,0.4685,0.455,0.5732041630067891,0.554445028932141,0.563824595969465
118,6,0.2047230949090805,ahc,complete,arithmetic,30,3day,30.0,0.0135,0.2928,0.2793,0.5715141061236912,0.73929510783798,0.6554046069808357
119,7,0.1737084749091271,ahc,complete,arithmetic,30,3day,30.0,0.0135,0.2928,0.2793,0.5392113461639254,0.73929510783798,0.6392532270009528
120,4,0.4741828246066218,ahc,single,arithmetic,30,full,30.0,0.0045,0.955,0.9505,0.8521653914612567,0.03314045239347707,0.4426529219273669
121,5,0.1939406000358835,ahc,single,arithmetic,30,full,30.0,0.0045,0.955,0.9505,0.5602837785021756,0.03314045239347707,0.29671211544782633
122,6,0.1320325843257767,ahc,single,arithmetic,30,full,30.0,0.0045,0.9505,0.9459,0.4958045177189707,0.037980010520778484,0.2668922641198746
123,7,0.0729948916746095,ahc,single,arithmetic,30,full,30.0,0.0045,0.9459,0.9414,0.43431479402440487,0.04271436086270375,0.2385145774435543
124,4,0.1940908910143218,ahc,average,arithmetic,30,full,30.0,0.0045,0.955,0.9505,0.5604403115630552,0.03314045239347707,0.2967903819782661
125,5,0.1112730321319191,ahc,average,arithmetic,30,full,30.0,0.0045,0.9324,0.9279,0.4741827525194802,0.05691741188847976,0.26555008220398
126,6,0.1111400160972953,ahc,average,arithmetic,30,full,30.0,0.0045,0.9324,0.9279,0.47404421188808576,0.05691741188847976,0.26548081188828276
127,7,0.1037068883564473,ahc,average,arithmetic,30,full,30.0,0.0045,0.9234,0.9189,0.46630236171667466,0.06638611257233018,0.2663442371445024
128,4,0.0708714522068234,ahc,complete,arithmetic,30,full,30.0,0.018,0.6802,0.6622,0.4321031610778432,0.33645449763282476,0.384278829355334
129,5,0.0877311933977205,ahc,complete,arithmetic,30,full,30.0,0.018,0.6802,0.6622,0.4496631431983446,0.33645449763282476,0.3930588204155847
130,6,0.0869964486999156,ahc,complete,arithmetic,30,full,30.0,0.018,0.5631,0.545,0.44889788211808834,0.4597580220936348,0.4543279521058616
131,7,0.0827912011252776,ahc,complete,arithmetic,30,full,30.0,0.018,0.4459,0.4279,0.4445179766742969,0.5829563387690688,0.5137371577216828
132,4,-0.030830603892568,ahc,single,arithmetic,30,weekly,30.0,0.0045,0.9595,0.955,0.3261770815192923,0.028406102051551807,0.17729159178542206
133,5,-0.0769652914557423,ahc,single,arithmetic,30,weekly,30.0,0.0045,0.955,0.9505,0.27812626747822855,0.03314045239347707,0.1556333599358528
134,6,-0.1357142168751091,ahc,single,arithmetic,30,weekly,30.0,0.0045,0.9505,0.9459,0.21693730447565598,0.037980010520778484,0.12745865749821722
135,7,-0.1383549334986692,ahc,single,arithmetic,30,weekly,30.0,0.0045,0.9459,0.9414,0.21418691013863833,0.04271436086270375,0.12845063550067104
136,4,0.4930693799248777,ahc,average,arithmetic,30,weekly,30.0,0.0045,0.9505,0.9459,0.8718363680172609,0.037980010520778484,0.4549081892690197
137,5,0.5132376855414372,ahc,average,arithmetic,30,weekly,30.0,0.0045,0.7387,0.7342,0.8928423302095398,0.26070489216202,0.57677361118578
138,6,0.5114142722311699,ahc,average,arithmetic,30,weekly,30.0,0.0045,0.7387,0.7342,0.8909431845011901,0.26070489216202,0.5758240383316051
139,7,0.5112092006878507,ahc,average,arithmetic,30,weekly,30.0,0.0045,0.7387,0.7342,0.8907295956570118,0.26070489216202,0.575717243909516
140,4,0.3764165589112968,ahc,complete,arithmetic,30,weekly,30.0,0.0991,0.5135,0.4144,0.7503385687265746,0.5971593897948448,0.6737489792607096
141,5,0.3738586083835557,ahc,complete,arithmetic,30,weekly,30.0,0.0135,0.5,0.4865,0.7476743780356456,0.5213045765386639,0.6344894772871548
142,6,0.39715319346966,ahc,complete,arithmetic,30,weekly,30.0,0.0135,0.3423,0.3288,0.7719364644452131,0.6872172540768018,0.7295768592610075
143,7,0.387845949443043,ahc,complete,arithmetic,30,weekly,30.0,0.0135,0.3243,0.3108,0.7622426597273341,0.7061546554445028,0.7341986575859185
144,4,0.2595581628156481,ahc,single,arithmetic,3,3day,3.0,0.0045,0.964,0.9595,0.6286266561393283,0.02367175170962632,0.3261492039244773
145,5,0.1797930229229947,ahc,single,arithmetic,3,3day,3.0,0.0045,0.9595,0.955,0.5455486056227203,0.028406102051551807,0.2869773538371361
146,6,0.1726549899858582,ahc,single,arithmetic,3,3day,3.0,0.0045,0.9595,0.955,0.5381141065202464,0.028406102051551807,0.2832601042858991
147,7,0.1604562764669331,ahc,single,arithmetic,3,3day,3.0,0.0045,0.955,0.9505,0.5254087399988967,0.03314045239347707,0.2792745961961869
148,4,0.2159283618120982,ahc,average,arithmetic,3,3day,3.0,0.0045,0.9099,0.9054,0.5831847648986122,0.0805891635981062,0.3318869642483592
149,5,0.2100758481252617,ahc,average,arithmetic,3,3day,3.0,0.0045,0.9099,0.9054,0.5770891769214772,0.0805891635981062,0.3288391702597917
150,6,0.1773360477302498,ahc,average,arithmetic,3,3day,3.0,0.0045,0.9099,0.9054,0.5429895841071106,0.0805891635981062,0.3117893738526084
151,7,0.1701260100591041,ahc,average,arithmetic,3,3day,3.0,0.0045,0.9099,0.9054,0.5354800896753801,0.0805891635981062,0.30803462663674314
152,4,0.2626087649305,ahc,complete,arithmetic,3,3day,3.0,0.0225,0.9144,0.8919,0.6318039598705675,0.0947922146238821,0.3632980872472248
153,5,0.1498672181054189,ahc,complete,arithmetic,3,3day,3.0,0.0135,0.9009,0.8874,0.5143798829484973,0.09952656496580747,0.3069532239571524
154,6,0.1473689643419967,ahc,complete,arithmetic,3,3day,3.0,0.0135,0.9009,0.8874,0.5117778684263613,0.09952656496580747,0.3056522166960844
155,7,0.1483131382261197,ahc,complete,arithmetic,3,3day,3.0,0.009,0.9009,0.8919,0.5127612569811509,0.0947922146238821,0.3037767358025165
156,4,0.2265552901478934,ahc,single,arithmetic,3,full,3.0,0.0045,0.973,0.9685,0.5942530647888362,0.014203051025775792,0.304228057907306
157,5,0.0892752362354559,ahc,single,arithmetic,3,full,3.0,0.0045,0.9685,0.964,0.4512713152525254,0.01893740136770128,0.23510435831011334
158,6,0.0673715080167535,ahc,single,arithmetic,3,full,3.0,0.0045,0.964,0.9595,0.42845785260575564,0.02367175170962632,0.22606480215769098
159,7,0.0659976806718882,ahc,single,arithmetic,3,full,3.0,0.0045,0.955,0.9505,0.4270269656580061,0.03314045239347707,0.23008370902574157
160,4,0.3126071189978687,ahc,average,arithmetic,3,full,3.0,0.018,0.9234,0.9054,0.6838789112910274,0.0805891635981062,0.3822340374445668
161,5,0.2784657029613824,ahc,average,arithmetic,3,full,3.0,0.0045,0.9234,0.9189,0.6483194890922457,0.06638611257233018,0.35735280083228793
162,6,0.2732945938499294,ahc,average,arithmetic,3,full,3.0,0.0045,0.9234,0.9189,0.6429336066808773,0.06638611257233018,0.35465985962660374
163,7,0.1646438846723158,ahc,average,arithmetic,3,full,3.0,0.0045,0.9144,0.9099,0.5297702734519659,0.07585481325618082,0.30281254335407337
164,4,0.3126071189978687,ahc,complete,arithmetic,3,full,3.0,0.018,0.9234,0.9054,0.6838789112910274,0.0805891635981062,0.3822340374445668
165,5,0.2810539264324214,ahc,complete,arithmetic,3,full,3.0,0.0135,0.9234,0.9099,0.6510152100621409,0.07585481325618082,0.36343501165916087
166,6,0.1323720141665783,ahc,complete,arithmetic,3,full,3.0,0.0135,0.8829,0.8694,0.4961580452060272,0.11846396633350864,0.3073110057697679
167,7,0.1225739978717631,ahc,complete,arithmetic,3,full,3.0,0.009,0.8829,0.8739,0.4859530848210937,0.11372961599158327,0.29984135040633847
168,4,0.1578682840836711,ahc,single,arithmetic,3,weekly,3.0,0.0045,0.973,0.9685,0.5227132597146198,0.014203051025775792,0.2684581553701978
169,5,0.0989671467218834,ahc,single,arithmetic,3,weekly,3.0,0.0045,0.9685,0.964,0.4613657629031842,0.01893740136770128,0.24015158213544274
170,6,0.0538685947782164,ahc,single,arithmetic,3,weekly,3.0,0.0045,0.964,0.9595,0.41439411862795217,0.02367175170962632,0.21903293516878924
171,7,0.090406350406779,ahc,single,arithmetic,3,weekly,3.0,0.0045,0.9234,0.9189,0.45244940834421554,0.06638611257233018,0.25941776045827286
172,4,0.2158013575366275,ahc,average,arithmetic,3,weekly,3.0,0.0045,0.9279,0.9234,0.5830524857146531,0.06165176223040503,0.32235212397252905
173,5,0.1762879976274614,ahc,average,arithmetic,3,weekly,3.0,0.0045,0.9144,0.9099,0.5418980050100193,0.07585481325618082,0.30887640913310005
174,6,0.1629902570534135,ahc,average,arithmetic,3,weekly,3.0,0.0045,0.9144,0.9099,0.5280479651974613,0.07585481325618082,0.3019513892268211
175,7,0.1112681434145616,ahc,average,arithmetic,3,weekly,3.0,0.0045,0.9054,0.9009,0.4741776607574883,0.08532351394003146,0.2797505873487599
176,4,0.1409094428879899,ahc,complete,arithmetic,3,weekly,3.0,0.018,0.9099,0.8919,0.5050500616376903,0.0947922146238821,0.2999211381307862
177,5,0.1397124761122923,ahc,complete,arithmetic,3,weekly,3.0,0.0135,0.8964,0.8829,0.5038033808647118,0.10426091530773274,0.30403214808622225
178,6,0.1361524109113618,ahc,complete,arithmetic,3,weekly,3.0,0.009,0.8964,0.8874,0.5000954543569246,0.09952656496580747,0.29981100966136603
179,7,0.0995949044688636,ahc,complete,arithmetic,3,weekly,3.0,0.009,0.8288,0.8198,0.4620195935099631,0.17064702788006314,0.31633331069501314
180,4,0.3182988385182811,ahc,single,arithmetic,60,3day,60.0,0.0045,0.9595,0.955,0.6898070267870893,0.028406102051551807,0.35910656441932054
181,5,0.1270107628073584,ahc,single,arithmetic,60,3day,,,,,0.49057412330915695,,
182,6,0.1553028908402674,ahc,single,arithmetic,60,3day,60.0,0.0045,0.955,0.9505,0.5200413171873794,0.03314045239347707,0.27659088479042826
183,7,0.0932924352937377,ahc,single,arithmetic,60,3day,,,,,0.45545536190183045,,
184,4,0.2951165228486432,ahc,average,arithmetic,60,3day,60.0,0.0045,0.955,0.9505,0.6656618727149466,0.03314045239347707,0.34940116255421183
185,5,0.3683642180577806,ahc,average,arithmetic,60,3day,60.0,0.0045,0.955,0.9505,0.7419517874696789,0.03314045239347707,0.387546119931578
186,6,0.3662427728397909,ahc,average,arithmetic,60,3day,60.0,0.0045,0.7613,0.7568,0.7397422316007172,0.23692793266701728,0.4883350821338672
187,7,0.3267869056722144,ahc,average,arithmetic,60,3day,60.0,0.0045,0.7568,0.7523,0.6986476315017784,0.24166228300894266,0.47015495725536055
188,4,0.3254580751560481,ahc,complete,arithmetic,60,3day,60.0,0.009,0.6712,0.6622,0.6972636102501559,0.33645449763282476,0.5168590539414903
