,clusters,silhouette_score,method,linkage,return_mode,window_size,df_mode,inertia,entropy,silhouette_norm,entropy_norm_clusters,total_score,ari_mean,nmi_mean
322,4,0.2406395570170333,ahc,complete,geometric,60,weekly,,1.7236,0.905245690240102,0.8618,0.883522845120051,0.014042961418894107,0.048602471322165136
336,4,0.2418399814143694,ahc,average,geometric,60,3day,,1.4726,0.9074843849195828,0.7363,0.8218921924597914,0.019659340949651723,0.04389802415191024
337,7,0.1413817505855978,ahc,average,geometric,60,3day,,1.7084,0.7201378869931067,0.608544358455345,0.6643411227242259,0.033156506702623795,0.12419262241592406
338,9,0.1307931378983901,ahc,average,geometric,60,3day,,1.8615,0.7003909783676756,0.587237868136634,0.6438144232521548,0.07247808864074248,0.17772679777244269
339,10,0.1318846208532966,ahc,average,geometric,60,3day,,1.9458,0.7024265060438171,0.5857441655629746,0.6440853358033958,0.06783208367665662,0.18478455545242156
340,12,0.1469814928284652,ahc,average,geometric,60,3day,,2.5283,0.73058095462268,0.7052514494897517,0.7179162020562159,0.07458636772431487,0.2153624656292326
341,15,0.1423216450561606,ahc,average,geometric,60,3day,,2.6073,0.7218907143724832,0.6673593580866319,0.6946250362295576,0.07442709307376298,0.2544858180554408
342,18,0.1527029283362889,ahc,average,geometric,60,3day,,3.0634,0.7412509703760928,0.7346415100848139,0.7379462402304533,0.07748288639604164,0.2978067036005122
343,4,0.1640642899169981,ahc,complete,geometric,60,3day,,1.9017,0.7624389933609915,0.95085,0.8566444966804958,0.05772467901970823,0.08060785893401928
344,7,0.1641902483466567,ahc,complete,geometric,60,3day,,2.6854,0.762673895672989,0.9565587802598827,0.8596163379664359,0.06635120030435424,0.15560922178558445
357,4,0.1358669596654338,ahc,average,geometric,60,full,,1.3819,0.7098532467285327,0.69095,0.7004016233642663,0.07173061331972412,0.08939301198206852
364,4,0.1436210778711858,ahc,complete,geometric,60,full,,1.895,0.7243140517653213,0.9475,0.8359070258826606,0.04777332075302529,0.06327988063315246
0,4,0.1587716828739744,kshape,not_applicable,geometric,1,weekly,0.2103700625043903,1.9726,0.752568708106799,0.9863,0.8694343540533995,0.5050133477109331,0.4873800858998859
1,7,0.1839234825193003,kshape,not_applicable,geometric,1,weekly,0.167699149202727,2.6223,0.7994747857992466,0.9340821067533666,0.8667784462763066,0.511258593406104,0.5470104663140246
2,9,0.1763313596458965,kshape,not_applicable,geometric,1,weekly,0.1490866038862416,3.0084,0.7853160889913755,0.9490445353221864,0.8671803121567809,0.5731935684643625,0.6260237306177525
4,12,0.2007967265687108,kshape,not_applicable,geometric,1,weekly,0.1338014491559981,3.3438,0.8309420250213257,0.932729421668248,0.8818357233447869,0.5311685907115743,0.6203928129247442
